iter	RMSEWithUncertainty
0	-2.974067166
1	-3.093388815
2	-3.262543839
3	-3.356944584
4	-3.378200862
5	-3.389473387
6	-3.447690681
7	-3.46532635
8	-3.480563959
9	-3.486437172
10	-3.496131567
11	-3.505801698
12	-3.515060064
13	-3.527861881
14	-3.533362209
15	-3.538394718
16	-3.542409263
17	-3.546373337
18	-3.557948438
19	-3.560523962
20	-3.563435218
21	-3.566778915
22	-3.571752894
23	-3.577033687
24	-3.583789271
25	-3.594415534
26	-3.596059122
27	-3.601073612
28	-3.604420466
29	-3.607202487
30	-3.60850493
31	-3.610986077
32	-3.615097269
33	-3.618435801
34	-3.620379711
35	-3.622336661
36	-3.623353176
37	-3.624810008
38	-3.629205621
39	-3.630372
40	-3.632974514
41	-3.635233497
42	-3.641702616
43	-3.643865909
44	-3.646301732
45	-3.652581402
46	-3.656230036
47	-3.661340887
48	-3.663253985
49	-3.665813911
50	-3.669512292
51	-3.6744078
52	-3.675289089
53	-3.677037474
54	-3.680507139
55	-3.681484721
56	-3.6834584
57	-3.684784872
58	-3.688618458
59	-3.690650742
60	-3.692736949
61	-3.699991075
62	-3.701205542
63	-3.702788693
64	-3.706514786
65	-3.709719324
66	-3.710908548
67	-3.713800846
68	-3.715323058
69	-3.717492796
70	-3.718799312
71	-3.720533265
72	-3.722287409
73	-3.724248726
74	-3.726245761
75	-3.727477388
76	-3.729573936
77	-3.731482824
78	-3.733912514
79	-3.73629993
80	-3.738063515
81	-3.739691762
82	-3.740426341
83	-3.74254494
84	-3.746192324
85	-3.747597449
86	-3.749408992
87	-3.752055395
88	-3.753549237
89	-3.755107159
90	-3.756264347
91	-3.758070982
92	-3.759487913
93	-3.760444966
94	-3.762904166
95	-3.764371471
96	-3.766476506
97	-3.769170728
98	-3.770578901
99	-3.772722391
100	-3.774199997
101	-3.776507174
102	-3.777201729
103	-3.777111046
104	-3.778142117
105	-3.779251776
106	-3.780326816
107	-3.782509876
108	-3.78315878
109	-3.783795207
110	-3.785223983
111	-3.786180598
112	-3.786734156
113	-3.787731305
114	-3.789696598
115	-3.790509142
116	-3.79168653
117	-3.79305498
118	-3.79482809
119	-3.796146512
120	-3.797871803
121	-3.798491238
122	-3.799181219
123	-3.799726787
124	-3.802730399
125	-3.803309316
126	-3.804766871
127	-3.806031404
128	-3.806788264
129	-3.807873498
130	-3.810302622
131	-3.81223422
132	-3.813761081
133	-3.814439084
134	-3.815017083
135	-3.815894469
136	-3.817241044
137	-3.818113511
138	-3.818643752
139	-3.819909396
140	-3.821458989
141	-3.823009444
142	-3.823946415
143	-3.825720269
144	-3.827536355
145	-3.829220215
146	-3.83094762
147	-3.832137622
148	-3.833369883
149	-3.834213853
150	-3.835156647
151	-3.836043592
152	-3.836574476
153	-3.838233538
154	-3.839567908
155	-3.841001612
156	-3.842094838
157	-3.8433008
158	-3.845658034
159	-3.846664594
160	-3.847194668
161	-3.848265764
162	-3.849194146
163	-3.849680513
164	-3.850354588
165	-3.851686814
166	-3.852096199
167	-3.853689507
168	-3.854316387
169	-3.855380641
170	-3.855870939
171	-3.857307562
172	-3.85880468
173	-3.859469264
174	-3.861658065
175	-3.862929125
176	-3.863158386
177	-3.864298132
178	-3.865722591
179	-3.866323751
180	-3.866801099
181	-3.86747759
182	-3.868752619
183	-3.86987743
184	-3.871263904
185	-3.87269191
186	-3.873406864
187	-3.873954109
188	-3.874313478
189	-3.874884967
190	-3.876329919
191	-3.877170744
192	-3.87804725
193	-3.878846703
194	-3.879580607
195	-3.880645808
196	-3.880892928
197	-3.881493763
198	-3.882383029
199	-3.883425279
200	-3.884309282
201	-3.885562499
202	-3.88771546
203	-3.888240078
204	-3.889350226
205	-3.890834555
206	-3.891636206
207	-3.892277116
208	-3.893509695
209	-3.89409078
210	-3.895174368
211	-3.895808792
212	-3.896446441
213	-3.897322198
214	-3.898068609
215	-3.898798884
216	-3.899940914
217	-3.900447557
218	-3.901841209
219	-3.902893462
220	-3.903252582
221	-3.904116567
222	-3.904853777
223	-3.905561332
224	-3.906547026
225	-3.906997575
226	-3.908750136
227	-3.90951987
228	-3.910983871
229	-3.911152535
230	-3.911988928
231	-3.912731687
232	-3.913885969
233	-3.914440568
234	-3.915536022
235	-3.916707588
236	-3.917145524
237	-3.918290732
238	-3.919273326
239	-3.919882336
240	-3.920771716
241	-3.921520157
242	-3.922508735
243	-3.923567592
244	-3.924426165
245	-3.925280058
246	-3.925840515
247	-3.926822566
248	-3.927289445
249	-3.927895569
250	-3.928278036
251	-3.929561099
252	-3.930588076
253	-3.931197097
254	-3.931967446
255	-3.933398324
256	-3.934414235
257	-3.934802944
258	-3.935525496
259	-3.935930067
260	-3.936175963
261	-3.936568409
262	-3.93731148
263	-3.938050533
264	-3.938492115
265	-3.939467081
266	-3.939840343
267	-3.940554965
268	-3.941240053
269	-3.942547903
270	-3.942997075
271	-3.943322471
272	-3.944153592
273	-3.944714804
274	-3.945653266
275	-3.946414631
276	-3.946796675
277	-3.947942449
278	-3.948635818
279	-3.949240438
280	-3.949570236
281	-3.950128991
282	-3.950367483
283	-3.9507999
284	-3.951345321
285	-3.951994988
286	-3.952881378
287	-3.954618916
288	-3.955660981
289	-3.956293055
290	-3.957319791
291	-3.958438239
292	-3.958928409
293	-3.960511478
294	-3.961249619
295	-3.962032961
296	-3.962085106
297	-3.962927759
298	-3.963100144
299	-3.963962713
300	-3.964501897
301	-3.965523563
302	-3.965759806
303	-3.964490233
304	-3.965256473
305	-3.966574679
306	-3.968211826
307	-3.968479248
308	-3.969118286
309	-3.969948908
310	-3.970575971
311	-3.971421612
312	-3.971959432
313	-3.972659088
314	-3.97327565
315	-3.973716071
316	-3.97413556
317	-3.974549803
318	-3.975360015
319	-3.975795829
320	-3.976237007
321	-3.976643602
322	-3.977005756
323	-3.977602382
324	-3.978083989
325	-3.979003789
326	-3.979517568
327	-3.980309627
328	-3.980874537
329	-3.981148278
330	-3.981619909
331	-3.982032336
332	-3.982353738
333	-3.982549223
334	-3.983323994
335	-3.983996733
336	-3.984740298
337	-3.984948841
338	-3.985792083
339	-3.986582781
340	-3.987165303
341	-3.988702843
342	-3.989813483
343	-3.989928196
344	-3.990158457
345	-3.99072647
346	-3.990703468
347	-3.990702469
348	-3.99133414
349	-3.991750394
350	-3.992236691
351	-3.992677837
352	-3.993521457
353	-3.993560184
354	-3.994024218
355	-3.994131013
356	-3.994964091
357	-3.995393655
358	-3.996444493
359	-3.997300596
360	-3.997089929
361	-3.997403368
362	-3.997416905
363	-3.998255867
364	-3.998452141
365	-3.998906525
366	-3.99953015
367	-3.999737045
368	-4.000007997
369	-4.000739722
370	-4.001305555
371	-4.001956104
372	-4.001749772
373	-4.002409316
374	-4.002641368
375	-4.003890081
376	-4.005032109
377	-4.005648482
378	-4.006723304
379	-4.007272098
380	-4.007472011
381	-4.008581016
382	-4.008921632
383	-4.009250951
384	-4.009576367
385	-4.010387887
386	-4.010511881
387	-4.01100863
388	-4.011563803
389	-4.011867935
390	-4.012983153
391	-4.013446064
392	-4.014177865
393	-4.014500507
394	-4.014901726
395	-4.015186092
396	-4.015608166
397	-4.015968349
398	-4.016620868
399	-4.017171325
400	-4.017787569
401	-4.01770667
402	-4.018028821
403	-4.018464102
404	-4.019284684
405	-4.020161815
406	-4.020861805
407	-4.021203357
408	-4.021776192
409	-4.022429978
410	-4.02374407
411	-4.024186838
412	-4.024575835
413	-4.024873799
414	-4.025322617
415	-4.026181065
416	-4.026585658
417	-4.027226695
418	-4.027561772
419	-4.027079404
420	-4.027739428
421	-4.028557909
422	-4.028969117
423	-4.029574913
424	-4.030109844
425	-4.030749799
426	-4.031397012
427	-4.031617187
428	-4.032148237
429	-4.033349565
430	-4.03419369
431	-4.034495925
432	-4.035097834
433	-4.035432352
434	-4.03614196
435	-4.037174947
436	-4.037923883
437	-4.038409165
438	-4.038703124
439	-4.0390933
440	-4.040257433
441	-4.040478039
442	-4.04109907
443	-4.041607651
444	-4.042876371
445	-4.043403679
446	-4.043814651
447	-4.044750939
448	-4.045154415
449	-4.045544508
450	-4.045796329
451	-4.046158665
452	-4.046452964
453	-4.047292302
454	-4.047871997
455	-4.047733469
456	-4.047970415
457	-4.048487617
458	-4.047965647
459	-4.049309537
460	-4.049812432
461	-4.050422739
