iter	RMSEWithUncertainty
0	0.9430387027
1	0.9374612274
2	0.9315603532
3	0.9262387895
4	0.9210245159
5	0.9151845949
6	0.9100037712
7	0.9061479117
8	0.9012935866
9	0.8981727237
10	0.8947038274
11	0.8904676679
12	0.8871789761
13	0.8836812055
14	0.8800897054
15	0.8763209102
16	0.8731531415
17	0.8708443394
18	0.8676402197
19	0.8644204631
20	0.8619113379
21	0.8596028393
22	0.8573476664
23	0.8548034971
24	0.8525691385
25	0.8501947195
26	0.8475589662
27	0.8454245837
28	0.8433195445
29	0.8411296588
30	0.8391259751
31	0.8368340353
32	0.8339465434
33	0.8317561389
34	0.830099363
35	0.8279205565
36	0.8263538595
37	0.8244010317
38	0.8231516381
39	0.8209758446
40	0.819696106
41	0.8182195189
42	0.8166944559
43	0.815362368
44	0.8137633297
45	0.8124923703
46	0.8108884193
47	0.8096322083
48	0.80777994
49	0.8064627882
50	0.8046988439
51	0.8029595659
52	0.8018361144
53	0.8003328329
54	0.7992779911
55	0.7974525311
56	0.7964830064
57	0.7953928196
58	0.7944053717
59	0.7934211483
60	0.7923315386
61	0.7911994536
62	0.7896935342
63	0.7883985758
64	0.7869499147
65	0.7858258695
66	0.784571009
67	0.7833859086
68	0.7824557698
69	0.78132553
70	0.780098401
71	0.7791981433
72	0.7781045627
73	0.7768156315
74	0.7756523181
75	0.77452854
76	0.7738993295
77	0.772347645
78	0.7717065856
79	0.7706504009
80	0.7697914051
81	0.7687876986
82	0.7679041397
83	0.7672121098
84	0.7662703048
85	0.7652716737
86	0.7638980242
87	0.7631020286
88	0.7616656559
89	0.7611059155
90	0.7605308353
91	0.7597375346
92	0.7592890813
93	0.758356293
94	0.7573777685
95	0.7567137126
96	0.7560389253
97	0.7551149659
98	0.7546527058
99	0.7539598059
100	0.7530522604
101	0.7521501468
102	0.7515395445
103	0.7509000069
104	0.7500476645
105	0.7494744843
106	0.7489090637
107	0.7481880102
108	0.7474499854
109	0.7464856794
110	0.7456285378
111	0.7449770835
112	0.7443389066
113	0.743962011
114	0.7429935359
115	0.7423091525
116	0.7419139307
117	0.7413701769
118	0.7407100992
119	0.7400421436
120	0.7393952952
121	0.7381377852
122	0.7372349399
123	0.7367708281
124	0.7361022669
125	0.7355488004
126	0.7347567257
127	0.7342533992
128	0.7336470596
129	0.7333565856
130	0.7325334591
131	0.7316264595
132	0.7309543496
133	0.7305328496
134	0.729989354
135	0.729402326
136	0.7289476333
137	0.72841247
138	0.7273485406
139	0.7264680135
140	0.7260888098
141	0.7255043575
142	0.725085996
143	0.7248445868
144	0.7242762532
145	0.7237984983
146	0.7231228732
