iter	Passed	Remaining
0	25	25966
1	49	24587
2	89	29597
3	101	25356
4	118	23488
5	129	21378
6	138	19688
7	161	20026
8	168	18592
9	177	17529
10	184	16563
11	193	15931
12	200	15226
13	209	14770
14	219	14403
15	233	14335
16	249	14430
17	287	15657
18	316	16361
19	347	17037
20	362	16884
21	376	16721
22	391	16639
23	400	16289
24	410	16001
25	417	15644
26	425	15345
27	432	15018
28	440	14750
29	448	14488
30	456	14265
31	463	14026
32	473	13870
33	482	13717
34	496	13689
35	512	13733
36	537	13984
37	549	13905
38	576	14207
39	591	14194
40	606	14183
41	616	14068
42	625	13931
43	636	13819
44	644	13671
45	653	13553
46	660	13397
47	669	13271
48	676	13126
49	684	13001
50	691	12870
51	701	12787
52	709	12677
53	722	12653
54	735	12631
55	751	12659
56	764	12655
57	776	12608
58	798	12733
59	829	12994
60	843	12983
61	852	12890
62	861	12805
63	868	12705
64	877	12628
65	885	12528
66	894	12452
67	902	12365
68	910	12283
69	917	12195
70	926	12125
71	934	12040
72	944	11988
73	952	11918
74	963	11879
75	974	11848
76	984	11799
77	998	11802
78	1017	11863
79	1032	11877
80	1049	11911
81	1068	11959
82	1077	11908
83	1085	11839
84	1094	11778
85	1101	11711
86	1110	11652
87	1117	11581
88	1126	11526
89	1133	11458
90	1141	11399
91	1149	11342
92	1159	11304
93	1167	11251
94	1175	11197
95	1186	11171
96	1195	11130
97	1205	11099
98	1220	11111
99	1252	11270
100	1270	11306
101	1287	11337
102	1302	11342
103	1310	11294
104	1320	11253
105	1327	11198
106	1337	11159
107	1347	11133
108	1356	11084
109	1365	11048
110	1372	10995
111	1382	10959
112	1389	10910
113	1402	10902
114	1419	10927
115	1442	10994
116	1475	11136
117	1489	11131
118	1504	11136
119	1528	11207
120	1538	11173
121	1549	11152
122	1568	11182
123	1586	11210
124	1601	11208
125	1617	11222
126	1628	11197
127	1641	11181
128	1654	11173
129	1668	11167
130	1685	11182
131	1715	11281
132	1750	11410
133	1815	11729
134	1833	11745
135	1850	11757
136	1866	11758
137	1878	11731
138	1887	11692
139	1897	11654
140	1909	11634
141	1921	11610
142	1930	11567
143	1946	11568
144	1956	11536
145	1967	11508
146	1979	11488
147	1994	11483
148	2011	11491
149	2049	11613
150	2060	11587
151	2078	11596
152	2094	11593
153	2107	11574
154	2122	11569
155	2132	11534
156	2144	11513
157	2154	11483
158	2164	11448
159	2172	11403
160	2185	11387
161	2196	11363
162	2207	11336
163	2228	11360
164	2289	11588
165	2305	11585
166	2323	11587
167	2336	11573
168	2364	11624
169	2372	11580
170	2381	11545
171	2398	11547
172	2408	11513
173	2416	11469
174	2427	11444
175	2435	11403
176	2446	11374
177	2457	11350
178	2469	11326
179	2480	11300
180	2501	11319
181	2524	11346
182	2547	11374
183	2562	11365
184	2578	11360
185	2595	11360
186	2606	11330
187	2617	11303
188	2625	11264
189	2632	11222
190	2640	11185
191	2648	11144
192	2657	11110
193	2664	11070
194	2672	11033
195	2680	10993
196	2689	10961
197	2697	10925
198	2707	10897
199	2714	10859
200	2725	10832
201	2734	10802
202	2745	10778
203	2764	10785
204	2788	10814
205	2801	10799
206	2822	10814
207	2842	10822
208	2854	10802
209	2864	10774
210	2873	10745
211	2882	10714
212	2890	10678
213	2897	10643
214	2904	10605
215	2912	10570
216	2919	10535
217	2926	10498
218	2936	10470
219	2942	10434
220	2951	10403
221	2959	10370
222	2969	10347
