iter	RMSEWithUncertainty
0	-2.895140103
1	-3.053852898
2	-3.214755835
3	-3.261642854
4	-3.299098688
5	-3.371522521
6	-3.410502538
7	-3.426931049
8	-3.435758646
9	-3.44398856
10	-3.452640217
11	-3.455003127
12	-3.463904847
13	-3.492751108
14	-3.49728804
15	-3.508802326
16	-3.521311565
17	-3.539307148
18	-3.543140718
19	-3.545679248
20	-3.550716621
21	-3.55511803
22	-3.557792465
23	-3.560900709
24	-3.563297496
25	-3.568682333
26	-3.572817169
27	-3.574802036
28	-3.577304561
29	-3.579558143
30	-3.583132294
31	-3.587100934
32	-3.589225368
33	-3.592618388
34	-3.596168133
35	-3.599789061
36	-3.603516209
37	-3.606173483
38	-3.609093813
39	-3.613542715
40	-3.615603413
41	-3.623527583
42	-3.626390976
43	-3.630010873
44	-3.630929704
45	-3.636465705
46	-3.63967255
47	-3.64098078
48	-3.641941574
49	-3.643501525
50	-3.646751169
51	-3.648545521
52	-3.650047716
53	-3.653007376
54	-3.654979739
55	-3.658530954
56	-3.660209839
57	-3.661563468
58	-3.666450117
59	-3.668207413
60	-3.669903067
61	-3.674300494
62	-3.676300037
63	-3.677663545
64	-3.678789441
65	-3.682279268
66	-3.686560958
67	-3.687601893
68	-3.68874484
69	-3.690754985
70	-3.691257415
71	-3.692733999
72	-3.698121729
73	-3.698934324
74	-3.700704307
75	-3.701813105
76	-3.702894198
77	-3.704291852
78	-3.705677584
79	-3.707124914
80	-3.710366568
81	-3.71149078
82	-3.71469578
83	-3.716982474
84	-3.720588178
85	-3.722660159
86	-3.724953896
87	-3.726719294
88	-3.728445644
89	-3.730634043
90	-3.731462453
91	-3.735330668
92	-3.737841655
93	-3.738889796
94	-3.74039945
95	-3.741797867
96	-3.742466381
97	-3.745497816
98	-3.746409563
99	-3.747505254
100	-3.74824582
101	-3.75043384
102	-3.75242769
103	-3.75318869
104	-3.755990787
105	-3.758695441
106	-3.76008891
107	-3.762180014
108	-3.763713247
109	-3.764713096
110	-3.766060999
111	-3.768149594
112	-3.769272374
113	-3.770521772
114	-3.771590513
115	-3.773271339
116	-3.774807975
117	-3.777095468
118	-3.778463587
119	-3.780522325
120	-3.781999459
121	-3.783521505
122	-3.787295661
123	-3.788929698
124	-3.789798676
125	-3.791807368
126	-3.792521323
127	-3.793028412
128	-3.793920008
129	-3.795013182
130	-3.796881596
131	-3.798276731
132	-3.800378645
133	-3.801689492
134	-3.802178663
135	-3.803247431
136	-3.804903373
137	-3.806095082
138	-3.807027418
139	-3.808518526
140	-3.809407111
141	-3.810644199
142	-3.812080718
143	-3.814205587
144	-3.815940562
145	-3.817124997
146	-3.818651307
147	-3.819892653
148	-3.82061115
149	-3.821340821
150	-3.8225341
151	-3.823344548
152	-3.824561958
153	-3.825631644
154	-3.827026941
155	-3.828122229
156	-3.829078019
157	-3.83017331
158	-3.831383738
159	-3.832680116
160	-3.834394482
161	-3.835882151
162	-3.836957685
163	-3.838604535
164	-3.840255965
165	-3.84175454
166	-3.843544599
167	-3.844859709
168	-3.845510852
169	-3.846206933
170	-3.847807936
171	-3.848746916
172	-3.849779851
173	-3.8508964
174	-3.85147346
175	-3.85301454
176	-3.85371476
177	-3.854887239
178	-3.856796875
179	-3.85740034
180	-3.858641811
181	-3.85950328
182	-3.861115731
183	-3.862014183
184	-3.863110356
185	-3.864252333
186	-3.864788782
187	-3.865220849
188	-3.867322557
189	-3.868011299
190	-3.868850523
191	-3.870539908
192	-3.871169897
193	-3.872670439
194	-3.87369043
195	-3.875544615
196	-3.876109711
197	-3.877467064
198	-3.878791638
199	-3.879603922
200	-3.880064381
201	-3.881256922
202	-3.88276732
203	-3.883669228
204	-3.884772311
205	-3.885765489
206	-3.88672371
207	-3.887100835
208	-3.887937027
209	-3.888548692
210	-3.889431734
211	-3.890346356
212	-3.890856853
213	-3.891617712
214	-3.891834749
215	-3.892380606
216	-3.893550566
217	-3.893954065
218	-3.894606856
219	-3.895960379
220	-3.897325427
221	-3.899181295
222	-3.900114333
223	-3.900549734
224	-3.900828673
225	-3.901370827
226	-3.902894846
227	-3.904927284
228	-3.906359524
229	-3.907271566
230	-3.90853073
231	-3.909467931
232	-3.910502454
233	-3.911420125
234	-3.912625452
235	-3.913279673
236	-3.914000299
237	-3.914383281
238	-3.915660975
239	-3.917393954
240	-3.91883208
241	-3.919488666
242	-3.920170947
243	-3.921006848
244	-3.92295237
245	-3.924655591
246	-3.92517789
247	-3.925011222
248	-3.926331595
249	-3.927180584
250	-3.928488735
251	-3.929056523
252	-3.929684592
253	-3.930373368
254	-3.931516605
255	-3.933586881
256	-3.933924264
257	-3.935300257
258	-3.935439373
259	-3.93608125
260	-3.936469333
261	-3.938006494
262	-3.93896807
263	-3.940422265
264	-3.940969839
265	-3.94210592
266	-3.943259475
267	-3.943905841
268	-3.945546693
269	-3.946142126
270	-3.946903495
271	-3.948073621
272	-3.948745033
273	-3.949252073
274	-3.949992395
275	-3.950623112
276	-3.951193117
277	-3.951968072
278	-3.953387816
279	-3.953981989
280	-3.954728404
281	-3.955573328
282	-3.956108981
283	-3.956587024
284	-3.957242705
285	-3.957838498
286	-3.959157854
287	-3.959697068
288	-3.961059892
289	-3.961625737
290	-3.962117977
291	-3.962581328
292	-3.964060535
293	-3.964686309
294	-3.965259492
295	-3.965557291
296	-3.965815219
297	-3.96630982
298	-3.966811263
299	-3.967297225
300	-3.968972957
301	-3.969978098
302	-3.970739226
303	-3.971867698
304	-3.972460125
305	-3.973370194
306	-3.974484837
307	-3.975499123
308	-3.975945764
309	-3.97670855
310	-3.977375845
311	-3.978585634
312	-3.979659981
313	-3.980314025
314	-3.980887168
315	-3.981735352
316	-3.982398305
317	-3.983053707
318	-3.984352036
319	-3.98446323
320	-3.984906905
321	-3.985731719
322	-3.985586372
323	-3.98539326
324	-3.986135096
325	-3.986934533
326	-3.989250377
327	-3.989874403
328	-3.990215752
329	-3.991077017
330	-3.991679274
331	-3.992237026
332	-3.992980435
333	-3.99332908
334	-3.994451077
335	-3.996148508
336	-3.996437269
337	-3.996838096
338	-3.996984411
339	-3.998192011
340	-3.998734259
341	-4.00006778
342	-4.000472125
343	-4.001045435
344	-4.002253726
345	-4.00321952
346	-4.003806364
347	-4.004247338
348	-4.004777578
349	-4.005264175
350	-4.006027939
351	-4.006652868
352	-4.007036575
353	-4.007929448
354	-4.01004044
355	-4.01065791
356	-4.010766956
357	-4.011306361
358	-4.011784586
359	-4.012605363
360	-4.013566792
361	-4.01405958
362	-4.01510783
363	-4.015903178
364	-4.016519943
365	-4.016613353
366	-4.017086496
367	-4.017448849
368	-4.018205321
369	-4.019847673
370	-4.020693288
371	-4.021245227
372	-4.021993996
373	-4.022362634
374	-4.02381128
375	-4.023915369
376	-4.024638454
377	-4.024732759
378	-4.024835846
379	-4.025338597
380	-4.025613426
381	-4.026079635
382	-4.026819483
383	-4.027005858
384	-4.027577562
385	-4.027623215
386	-4.029064086
387	-4.029618249
388	-4.030082653
389	-4.030541623
390	-4.030432474
391	-4.031395687
392	-4.032379466
393	-4.032884778
394	-4.032962567
395	-4.033221997
396	-4.033464116
397	-4.033713844
398	-4.034336147
399	-4.034446042
400	-4.034912049
401	-4.036053485
402	-4.036763473
403	-4.03719823
404	-4.037763303
405	-4.038258221
406	-4.038879051
407	-4.039253121
408	-4.039750256
409	-4.040335712
410	-4.041245651
411	-4.04169449
412	-4.042191911
413	-4.042669502
414	-4.043019367
415	-4.043428713
416	-4.04376224
417	-4.04384634
418	-4.044940163
419	-4.045152368
420	-4.045957242
421	-4.046541862
422	-4.046742878
423	-4.047960975
424	-4.048642578
425	-4.049491713
426	-4.050714781
427	-4.051837392
428	-4.053116701
429	-4.053305906
430	-4.054138968
431	-4.054172634
432	-4.054612803
433	-4.055297822
434	-4.056082891
435	-4.056546299
436	-4.056943057
437	-4.057577125
438	-4.058039245
439	-4.058542377
440	-4.059256427
441	-4.059491342
442	-4.060127199
443	-4.061434053
444	-4.062530509
445	-4.062799766
446	-4.063327162
447	-4.063970378
448	-4.06393971
449	-4.064354616
450	-4.064924168
451	-4.065673074
452	-4.065938155
453	-4.066082469
454	-4.066416723
455	-4.066993505
456	-4.067396289
457	-4.067723707
458	-4.068193513
459	-4.069039041
460	-4.070155454
461	-4.071252891
462	-4.071600356
463	-4.072477417
464	-4.073000285
465	-4.07364728
466	-4.07402857
467	-4.074461384
468	-4.075485775
469	-4.076196477
470	-4.077290727
471	-4.077585413
472	-4.078557244
473	-4.078986315
474	-4.079738387
475	-4.080255918
476	-4.080559819
477	-4.082020047
478	-4.082568052
479	-4.083060252
480	-4.083867023
481	-4.084183722
482	-4.084661287
483	-4.085254228
484	-4.085918935
485	-4.086437165
486	-4.086885036
487	-4.088567587
488	-4.089270531
489	-4.090221591
490	-4.090226379
491	-4.090561394
492	-4.091418123
493	-4.092072858
494	-4.092360117
495	-4.093138725
496	-4.093770775
497	-4.094485414
498	-4.094270906
499	-4.095394893
500	-4.095591037
501	-4.096471606
502	-4.097496009
503	-4.09851802
504	-4.099041702
505	-4.09906596
506	-4.099434171
507	-4.099428867
508	-4.099925705
509	-4.100120201
510	-4.100508122
511	-4.101382075
512	-4.102350215
513	-4.102845773
514	-4.103392392
515	-4.103944552
516	-4.104874
517	-4.105239737
518	-4.105369391
519	-4.105532093
520	-4.106825736
521	-4.107390948
522	-4.108013042
523	-4.108313209
524	-4.109098085
525	-4.109663564
526	-4.110298405
527	-4.111199083
528	-4.11137615
529	-4.111706771
530	-4.112340703
531	-4.112810049
532	-4.113299324
533	-4.114863296
534	-4.115617867
535	-4.116100608
536	-4.116649595
537	-4.116891713
538	-4.116973411
539	-4.117652328
540	-4.117966008
541	-4.118264898
542	-4.118771187
543	-4.119545794
544	-4.119610455
545	-4.119953988
546	-4.120806259
547	-4.121132051
548	-4.122006007
549	-4.122320729
550	-4.122589583
551	-4.12245213
552	-4.123271649
553	-4.124387014
554	-4.124967596
555	-4.1257184
556	-4.126533127
557	-4.12704413
558	-4.127470549
559	-4.128007709
560	-4.128247906
561	-4.128645908
562	-4.129538702
563	-4.130341258
564	-4.131039552
565	-4.131762314
566	-4.132342424
567	-4.133143726
568	-4.133338962
569	-4.133815575
570	-4.133916441
571	-4.134447893
572	-4.134739127
573	-4.135382084
574	-4.136018821
575	-4.136154927
576	-4.136565154
577	-4.137247596
578	-4.138029031
579	-4.138540595
580	-4.138309406
581	-4.138906982
582	-4.139425283
583	-4.140242091
584	-4.140841236
585	-4.14154273
586	-4.142043947
587	-4.142249381
588	-4.14287182
589	-4.143522412
590	-4.143911753
591	-4.144429011
592	-4.145114365
593	-4.144988164
594	-4.145480206
595	-4.145534419
596	-4.145871333
597	-4.146324559
598	-4.146564727
599	-4.146501031
600	-4.146873389
601	-4.147674744
602	-4.148607091
603	-4.149118501
604	-4.149190976
605	-4.149946654
606	-4.150179271
607	-4.150451481
608	-4.150465184
609	-4.15100304
610	-4.151160792
611	-4.151152936
612	-4.151166422
613	-4.151581463
614	-4.15161023
615	-4.152120887
616	-4.152035168
617	-4.152431087
618	-4.152152966
619	-4.152221697
620	-4.15275469
621	-4.152997007
622	-4.152589877
623	-4.152287746
624	-4.15261135
625	-4.152752052
626	-4.152597592
627	-4.153106669
628	-4.153967347
629	-4.154203047
630	-4.154314733
631	-4.155045099
632	-4.155500667
633	-4.154918012
634	-4.155380647
635	-4.155899671
636	-4.155960481
637	-4.156073695
638	-4.157249793
639	-4.157603201
640	-4.157053857
641	-4.157448632
642	-4.158028924
643	-4.158522401
644	-4.158625545
645	-4.158180936
646	-4.158327801
647	-4.158761926
648	-4.160123773
649	-4.160548039
650	-4.160639474
651	-4.161538692
652	-4.161972808
653	-4.162823562
654	-4.163338881
655	-4.163039375
656	-4.163552864
657	-4.164847575
658	-4.165087772
659	-4.165840243
660	-4.166180335
661	-4.166514304
662	-4.166660311
663	-4.166722707
664	-4.166757375
665	-4.167242553
666	-4.167395354
667	-4.167817316
668	-4.16801478
669	-4.168474065
670	-4.168983797
671	-4.16952214
672	-4.169032568
673	-4.169520245
674	-4.169981006
