iter	Passed	Remaining
0	4	4022
1	6	3362
2	9	3076
3	11	2909
4	13	2708
5	17	2913
6	19	2820
7	21	2705
8	23	2627
9	25	2549
10	27	2489
11	29	2439
12	33	2558
13	36	2536
14	38	2501
15	40	2467
16	42	2448
17	44	2430
18	48	2483
19	50	2480
20	52	2462
21	55	2447
22	57	2421
23	59	2409
24	61	2393
25	65	2435
26	67	2438
27	69	2426
28	71	2405
29	73	2385
30	75	2366
31	79	2397
32	81	2402
33	84	2394
34	86	2381
35	88	2370
36	90	2359
37	92	2353
38	95	2364
39	98	2354
40	100	2344
41	102	2337
42	104	2327
43	106	2315
44	109	2319
45	112	2326
46	114	2318
47	116	2308
48	118	2298
49	120	2287
50	122	2274
51	124	2269
52	127	2279
53	130	2283
54	132	2273
55	134	2263
56	136	2253
57	138	2243
58	141	2253
59	144	2260
60	146	2256
61	148	2247
62	150	2239
63	152	2232
64	154	2224
65	158	2241
66	160	2235
67	162	2229
68	164	2222
69	166	2213
70	168	2209
71	171	2206
72	174	2211
73	176	2212
74	178	2206
75	180	2198
76	182	2191
77	184	2184
78	187	2182
79	190	2185
80	192	2181
81	194	2175
82	196	2169
83	198	2162
84	200	2155
85	202	2150
86	205	2158
87	207	2155
88	210	2153
89	212	2148
90	214	2143
91	217	2142
92	221	2158
93	223	2156
94	225	2152
95	228	2147
96	230	2141
97	232	2137
98	235	2144
99	238	2146
100	240	2143
101	242	2138
102	245	2134
103	247	2129
104	250	2135
105	253	2141
106	256	2140
107	258	2135
108	260	2131
109	262	2127
110	265	2126
111	269	2133
112	271	2132
113	273	2127
114	275	2123
115	278	2123
116	283	2136
117	286	2140
118	288	2139
119	291	2138
120	294	2137
121	297	2141
122	300	2143
123	303	2143
124	305	2140
125	308	2137
126	310	2133
127	315	2148
128	318	2149
129	320	2147
130	323	2146
131	326	2143
132	331	2159
133	333	2157
134	336	2155
135	338	2152
136	341	2151
137	345	2160
138	348	2160
139	351	2158
140	353	2155
141	356	2153
142	359	2152
143	362	2156
144	365	2157
145	368	2153
146	370	2149
147	372	2145
148	377	2155
149	381	2160
150	384	2162
151	387	2163
152	393	2177
153	396	2178
154	399	2177
155	402	2176
156	404	2172
157	408	2176
158	411	2175
159	413	2173
160	416	2171
161	419	2168
162	421	2166
163	425	2169
164	428	2166
165	430	2163
166	432	2158
167	434	2154
168	437	2151
169	441	2154
170	443	2151
171	446	2147
172	448	2142
173	450	2139
174	453	2137
175	456	2138
176	459	2136
177	462	2135
178	464	2131
179	467	2128
180	471	2135
181	474	2133
182	476	2129
183	478	2124
184	481	2119
185	483	2114
186	486	2116
187	489	2114
188	491	2110
189	493	2105
190	496	2101
191	498	2097
192	501	2099
193	504	2096
194	507	2093
195	509	2090
196	511	2086
197	514	2081
198	517	2083
199	520	2081
200	523	2081
201	526	2079
202	528	2075
203	530	2071
204	534	2073
205	537	2070
206	539	2065
207	541	2061
208	543	2056
209	545	2052
210	550	2058
211	553	2056
212	555	2052
213	557	2048
214	560	2045
215	562	2042
216	566	2042
217	568	2038
