iter	RMSEWithUncertainty
0	-3.020745042
1	-3.175352344
2	-3.220102915
3	-3.244705609
4	-3.259651098
5	-3.284467348
6	-3.329063101
7	-3.360232007
8	-3.37428309
9	-3.381596925
10	-3.388686276
11	-3.396342643
12	-3.418823186
13	-3.428333315
14	-3.430508503
15	-3.440095989
16	-3.444162707
17	-3.446582752
18	-3.45011687
19	-3.458422191
20	-3.476315984
21	-3.486785559
22	-3.488663716
23	-3.489870749
24	-3.491275744
25	-3.492061049
26	-3.496326842
27	-3.499189805
28	-3.511207597
29	-3.512812457
30	-3.516015687
31	-3.519304344
32	-3.522230123
33	-3.52754716
34	-3.530109501
35	-3.533310518
36	-3.534106022
37	-3.536062957
38	-3.538895322
39	-3.541118901
40	-3.547020537
41	-3.550778946
42	-3.556812012
43	-3.559521709
44	-3.56149823
45	-3.563771367
46	-3.566150726
47	-3.567524439
48	-3.569292686
49	-3.572120328
50	-3.574093606
51	-3.575975415
52	-3.577640492
53	-3.578968221
54	-3.580005702
55	-3.582562657
56	-3.583351367
57	-3.585404546
58	-3.586970742
59	-3.588219298
60	-3.590708444
61	-3.59175471
62	-3.595063029
63	-3.595773359
64	-3.597078822
65	-3.598350135
66	-3.600606622
67	-3.602504956
68	-3.602976018
69	-3.604044418
70	-3.605276441
71	-3.607084738
72	-3.608940135
73	-3.611992128
74	-3.613194227
75	-3.615609945
76	-3.616395742
77	-3.618542789
78	-3.620350928
79	-3.621139691
80	-3.622669508
81	-3.62345557
82	-3.628788777
83	-3.630759094
84	-3.631994284
85	-3.633433001
86	-3.633867004
87	-3.635262769
88	-3.635759293
89	-3.637053383
90	-3.638681014
91	-3.63922611
92	-3.64010949
93	-3.64139108
94	-3.644516995
95	-3.646970903
96	-3.648229188
97	-3.651141842
98	-3.65158564
99	-3.65237015
100	-3.655636128
101	-3.656765435
102	-3.65733575
103	-3.658288336
104	-3.658976951
105	-3.65964468
106	-3.660177972
107	-3.661531493
108	-3.661971534
109	-3.663057533
110	-3.664103809
111	-3.66490155
112	-3.665935983
113	-3.667372616
114	-3.66883969
115	-3.669537734
116	-3.670572572
117	-3.671890751
118	-3.67273143
119	-3.673118417
120	-3.673658538
121	-3.675450159
122	-3.678572473
123	-3.680352208
124	-3.681722974
125	-3.682935049
126	-3.68367874
127	-3.684921843
128	-3.686012078
129	-3.687276146
130	-3.688100275
131	-3.688488912
132	-3.689940796
133	-3.690614346
134	-3.691818481
135	-3.692669899
136	-3.693203927
137	-3.69477447
138	-3.695360797
139	-3.696587759
140	-3.696861816
141	-3.698202022
142	-3.698654959
143	-3.699476487
144	-3.700413979
145	-3.700902289
146	-3.701680121
147	-3.702837207
148	-3.703345016
149	-3.70427082
150	-3.704925524
151	-3.706212587
152	-3.706924804
153	-3.707569357
154	-3.70803145
155	-3.708501174
156	-3.709588622
157	-3.710523363
158	-3.711105602
159	-3.712145759
160	-3.713986165
161	-3.715207211
162	-3.715979638
163	-3.716256025
164	-3.716815002
165	-3.717465688
166	-3.71782833
167	-3.720268813
168	-3.720962623
169	-3.72121921
170	-3.722974944
171	-3.724448688
172	-3.724792335
173	-3.725459158
174	-3.725950126
175	-3.726866438
176	-3.727279659
177	-3.727938948
178	-3.72907019
179	-3.730033383
180	-3.730650554
181	-3.731860141
182	-3.733031992
183	-3.733907489
184	-3.734369317
185	-3.735241189
186	-3.735661235
187	-3.736207868
188	-3.736850554
189	-3.737802414
190	-3.738618505
191	-3.739325522
192	-3.739929589
193	-3.74066718
194	-3.741960879
195	-3.742459497
196	-3.742741446
197	-3.742984639
198	-3.743605526
199	-3.74453155
200	-3.745264593
201	-3.746179224
202	-3.74696674
203	-3.747580955
204	-3.748523037
205	-3.750609854
206	-3.750982546
207	-3.751640748
208	-3.752451686
209	-3.75319597
210	-3.75406771
211	-3.754266866
212	-3.754622604
213	-3.755745797
214	-3.756365064
215	-3.757266242
216	-3.757435234
217	-3.758754127
218	-3.759339939
219	-3.759717846
220	-3.760208166
221	-3.760997099
222	-3.761613917
223	-3.762387084
224	-3.763169334
225	-3.764088183
226	-3.765614262
227	-3.765978171
228	-3.766730587
