iter	Passed	Remaining
0	135	135679
1	139	69520
2	144	48075
3	148	37027
4	152	30361
5	155	25841
6	161	22843
7	165	20470
8	169	18612
9	173	17133
10	178	16071
11	183	15110
12	187	14209
13	193	13639
14	196	12934
15	200	12327
16	203	11767
17	209	11417
18	212	10980
19	215	10582
20	220	10263
21	225	10042
22	229	9754
23	233	9486
24	238	9283
25	242	9083
26	245	8864
27	249	8653
28	252	8453
29	258	8343
30	262	8214
31	266	8064
32	273	8011
33	276	7868
34	279	7714
35	283	7593
36	287	7483
37	290	7358
38	293	7239
39	297	7130
40	302	7072
41	305	6963
42	308	6863
43	311	6767
44	315	6690
45	318	6610
46	322	6534
47	325	6447
48	328	6366
49	333	6344
50	336	6268
51	340	6199
52	342	6126
53	347	6091
54	350	6029
55	354	5967
56	357	5918
57	363	5898
58	367	5862
59	370	5810
60	374	5766
61	381	5766
62	386	5744
63	390	5708
64	398	5734
65	403	5707
66	406	5666
67	411	5645
68	415	5601
69	418	5560
70	423	5535
71	426	5493
72	429	5450
73	432	5410
74	435	5368
75	439	5343
76	442	5305
77	445	5270
78	449	5236
79	453	5215
80	457	5186
81	460	5153
82	463	5120
83	467	5095
84	471	5080
85	476	5065
86	480	5039
87	486	5042
88	490	5025
89	494	5000
90	499	4994
91	504	4976
92	508	4959
93	512	4942
94	519	4951
95	524	4935
96	527	4912
97	533	4909
98	540	4915
99	544	4896
100	548	4884
101	553	4871
102	557	4852
103	563	4855
104	567	4834
105	570	4811
106	573	4786
107	579	4782
108	583	4770
109	587	4754
110	591	4735
111	595	4721
112	598	4700
113	602	4683
114	607	4676
115	611	4657
116	615	4643
117	618	4625
118	624	4621
119	628	4607
120	632	4595
121	640	4607
122	647	4616
123	655	4628
124	662	4638
125	676	4694
126	681	4684
127	688	4691
128	692	4676
129	695	4655
130	698	4636
131	705	4638
132	708	4618
133	711	4600
134	714	4580
135	720	4579
136	725	4569
137	728	4549
138	731	4533
139	735	4519
140	738	4500
141	742	4488
142	746	4471
143	750	4464
144	754	4450
145	757	4433
146	760	4415
147	765	4405
148	769	4396
149	772	4379
150	775	4363
151	783	4373
152	790	4375
153	799	4390
154	803	4381
155	808	4373
156	812	4363
157	815	4347
158	819	4335
159	823	4321
160	829	4323
161	832	4308
162	836	4295
163	839	4279
164	844	4273
165	848	4260
166	851	4245
167	854	4230
168	859	4224
169	863	4215
170	866	4199
171	869	4183
172	872	4171
173	876	4160
174	880	4153
175	883	4138
176	889	4134
177	893	4125
178	896	4111
179	899	4096
180	901	4079
181	906	4074
182	909	4060
183	911	4043
184	914	4028
185	917	4013
186	920	4003
187	923	3990
188	926	3976
189	929	3961
190	931	3946
191	938	3949
192	941	3936
193	944	3922
194	946	3907
195	949	3894
196	953	3886
197	956	3872
198	958	3857
199	963	3853
200	969	3852
201	972	3843
202	975	3830
203	978	3817
204	983	3812
205	986	3804
206	989	3791
207	992	3779
208	995	3767
209	1000	3765
210	1004	3756
211	1007	3745
212	1011	3735
213	1015	3729
214	1018	3717
215	1020	3705
216	1023	3694
217	1028	3688
218	1030	3676
219	1033	3665
220	1036	3653
221	1039	3641
222	1044	3638
223	1047	3630
224	1050	3618
225	1053	3607
226	1056	3596
227	1061	3594
228	1065	3586
229	1068	3577
230	1071	3566
231	1076	3564
232	1079	3554
233	1082	3544
234	1085	3534
235	1090	3530
236	1094	3522
237	1097	3512
238	1100	3503
239	1106	3504
240	1109	3494
241	1112	3483
242	1115	3474
243	1119	3469
244	1122	3459
245	1126	3452
246	1128	3441
247	1131	3429
248	1134	3420
249	1138	3416
250	1141	3405
251	1143	3394
252	1146	3383
253	1148	3372
254	1153	3371
255	1156	3361
256	1159	3351
257	1161	3341
258	1165	3333
259	1168	3326
260	1171	3317
261	1176	3313
262	1179	3306
263	1184	3303
264	1190	3303
265	1195	3299
266	1201	3299
267	1204	3289
268	1207	3280
269	1209	3270
270	1213	3264
271	1216	3255
272	1219	3246
273	1222	3239
274	1225	3229
275	1227	3220
276	1231	3215
277	1234	3205
278	1236	3195
279	1238	3184
280	1240	3174
281	1243	3165
282	1246	3158
283	1249	3149
284	1251	3139
285	1253	3130
286	1256	3120
287	1258	3111
288	1263	3107
289	1265	3098
290	1267	3088
291	1269	3079
292	1272	3069
293	1275	3062
294	1286	3075
295	1289	3066
296	1293	3061
297	1295	3051
298	1297	3042
299	1301	3036
300	1303	3027
301	1307	3023
302	1310	3014
303	1312	3005
304	1315	2996
305	1317	2987
306	1319	2979
307	1325	2977
308	1327	2969
309	1330	2961
310	1332	2952
311	1335	2944
312	1338	2938
313	1341	2931
314	1344	2922
315	1346	2914
316	1349	2906
317	1351	2898
318	1355	2894
319	1358	2886
320	1360	2878
321	1363	2871
322	1365	2862
323	1367	2854
324	1371	2848
325	1374	2841
326	1376	2833
327	1379	2826
328	1382	2818
329	1385	2813
330	1388	2806
331	1391	2798
332	1393	2790
333	1395	2782
334	1398	2775
335	1402	2771
336	1405	2764
337	1407	2756
338	1409	2747
339	1412	2741
340	1414	2733
341	1418	2729
342	1421	2722
343	1423	2714
344	1425	2706
345	1428	2699
346	1430	2691
347	1433	2685
348	1436	2679
349	1439	2672
350	1441	2665
351	1443	2658
352	1446	2650
353	1449	2644
354	1451	2637
355	1454	2630
356	1456	2623
357	1458	2615
358	1460	2607
359	1463	2602
360	1466	2595
361	1468	2588
362	1471	2581
363	1473	2573
364	1475	2567
365	1478	2561
366	1481	2554
367	1483	2547
368	1485	2539
369	1487	2532
370	1490	2526
371	1492	2519
372	1496	2515
373	1498	2508
374	1500	2501
375	1503	2494
376	1505	2487
377	1507	2480
378	1510	2475
379	1513	2469
380	1515	2462
381	1517	2455
382	1519	2448
383	1522	2441
384	1524	2435
385	1528	2431
386	1530	2424
387	1532	2417
388	1535	2411
389	1537	2404
390	1539	2397
391	1542	2392
392	1544	2386
393	1547	2379
394	1549	2372
395	1551	2366
396	1553	2359
397	1556	2354
398	1559	2348
399	1561	2342
400	1564	2336
401	1567	2331
402	1570	2325
403	1574	2323
404	1577	2317
405	1579	2311
406	1582	2305
407	1585	2300
408	1589	2297
409	1592	2291
410	1594	2285
411	1597	2279
412	1599	2273
413	1604	2270
414	1606	2265
415	1609	2258
416	1611	2252
417	1613	2246
418	1616	2242
419	1620	2237
420	1623	2232
421	1626	2227
422	1628	2221
423	1631	2216
424	1636	2213
425	1639	2208
426	1642	2203
427	1644	2198
428	1647	2192
429	1651	2188
430	1653	2183
431	1655	2177
432	1657	2170
433	1660	2164
434	1662	2159
435	1666	2155
436	1668	2149
437	1670	2144
438	1673	2138
439	1675	2132
440	1678	2127
441	1682	2124
442	1685	2119
443	1687	2113
444	1690	2108
445	1692	2102
446	1695	2097
447	1700	2094
448	1703	2091
