iter	RMSEWithUncertainty
0	-2.755246966
1	-2.80640574
2	-2.868508637
3	-2.935097125
4	-2.955939304
5	-3.014131969
6	-3.057756194
7	-3.073441376
8	-3.080592057
9	-3.12370743
10	-3.135561988
11	-3.155109156
12	-3.164282311
13	-3.172273397
14	-3.17578968
15	-3.179296405
16	-3.181713857
17	-3.184352647
18	-3.190562292
19	-3.195362053
20	-3.197609278
21	-3.198954523
22	-3.203234873
23	-3.203990589
24	-3.207876773
25	-3.213878597
26	-3.215094082
27	-3.218436789
28	-3.221067519
29	-3.224179549
30	-3.225953097
31	-3.230877706
32	-3.23230561
33	-3.234393437
34	-3.235788762
35	-3.23799872
36	-3.243339148
37	-3.248051957
38	-3.249580474
39	-3.251591081
40	-3.260733146
41	-3.26372475
42	-3.26475484
43	-3.27122545
44	-3.273265228
45	-3.282316849
46	-3.283459803
47	-3.284492618
48	-3.286311181
49	-3.288655479
50	-3.29025503
51	-3.292926899
52	-3.295187671
53	-3.296135321
54	-3.296773348
55	-3.298572312
56	-3.300913357
57	-3.302176155
58	-3.303451333
59	-3.304590224
60	-3.305793812
61	-3.306924118
62	-3.307777328
63	-3.312285264
64	-3.31287234
65	-3.314052091
66	-3.314700517
67	-3.316561631
68	-3.317680469
69	-3.318747507
70	-3.324048863
71	-3.325376047
72	-3.325912733
73	-3.326239273
74	-3.327454649
75	-3.328746608
76	-3.329183716
77	-3.329942688
78	-3.332775001
79	-3.333727824
80	-3.334316866
81	-3.335415494
82	-3.33799101
83	-3.338643618
84	-3.33921659
85	-3.341336632
86	-3.342223392
87	-3.342983472
88	-3.34358434
89	-3.344374667
90	-3.343989957
91	-3.343734982
92	-3.344291923
93	-3.345901026
94	-3.349497083
95	-3.350952033
96	-3.35174164
97	-3.352414565
98	-3.352935164
99	-3.354149923
100	-3.355077096
101	-3.35553938
102	-3.356651235
103	-3.35732226
104	-3.357944748
105	-3.359162983
106	-3.360146575
107	-3.360416736
108	-3.3620221
109	-3.362236939
110	-3.363157528
111	-3.364580904
112	-3.365518123
113	-3.365393481
114	-3.36697126
115	-3.367693101
116	-3.368713443
117	-3.369693238
118	-3.370572559
119	-3.372137023
120	-3.372613829
121	-3.373240615
122	-3.373902077
123	-3.374452902
124	-3.375956479
125	-3.375173269
126	-3.376287701
127	-3.376678062
128	-3.376608186
129	-3.376857193
130	-3.377438027
131	-3.378551546
132	-3.378797585
133	-3.379881193
134	-3.379832409
135	-3.380142036
136	-3.38051358
137	-3.381453617
138	-3.381513174
139	-3.382117084
140	-3.382158536
141	-3.382829484
142	-3.384165918
143	-3.384373176
144	-3.384801802
145	-3.386197174
146	-3.386459853
147	-3.388250074
148	-3.389143858
149	-3.389928798
150	-3.390980097
151	-3.391857452
152	-3.392809407
153	-3.393324804
154	-3.393828566
155	-3.394899725
156	-3.395428379
157	-3.395786598
158	-3.397779433
159	-3.398444507
160	-3.399211135
161	-3.399657118
162	-3.400782613
163	-3.401518755
164	-3.40205316
165	-3.404309487
166	-3.404804613
167	-3.405229583
168	-3.405751437
169	-3.406350432
170	-3.407149126
171	-3.408065178
172	-3.409875391
173	-3.410317999
174	-3.410728039
175	-3.413007567
176	-3.413601574
177	-3.414312981
178	-3.414222415
179	-3.414971538
180	-3.41561029
181	-3.415914319
182	-3.416113072
183	-3.416445045
184	-3.417212084
185	-3.417856648
186	-3.418139627
187	-3.418515037
188	-3.419293914
189	-3.419426504
190	-3.419933985
191	-3.420574057
192	-3.420996099
193	-3.423133637
194	-3.423499599
195	-3.424163644
196	-3.424455267
197	-3.425488962
198	-3.426349432
199	-3.426828796
200	-3.427257708
201	-3.428216936
202	-3.428875703
203	-3.429348182
204	-3.429511202
205	-3.430256446
206	-3.430616627
207	-3.431031556
208	-3.431268082
209	-3.43208402
210	-3.432540673
211	-3.433030284
212	-3.4336883
213	-3.433905123
214	-3.434767807
215	-3.435213677
216	-3.435526714
217	-3.436011333
218	-3.436395741
219	-3.436493355
220	-3.436967165
221	-3.437448255
222	-3.437323661
223	-3.437823971
224	-3.43830271
225	-3.438656251
226	-3.439271228
227	-3.439206483
228	-3.43992059
229	-3.440100954
230	-3.440536229
231	-3.442369631
232	-3.442684018
233	-3.444657632
234	-3.445383984
235	-3.446016146
236	-3.446723695
237	-3.446841595
238	-3.447041004
239	-3.447648751
240	-3.447859154
241	-3.447576644
242	-3.447942471
243	-3.449281211
244	-3.449739411
245	-3.449719554
246	-3.450064378
247	-3.450567477
248	-3.451974287
249	-3.452307314
250	-3.452737209
