iter	Passed	Remaining
0	31	31660
1	55	27499
2	73	24575
3	98	24499
4	135	26929
5	160	26509
6	173	24587
7	185	23019
8	195	21571
9	217	21531
10	247	22214
11	263	21697
12	300	22796
13	323	22796
14	371	24418
15	407	25067
16	437	25276
17	481	26265
18	505	26120
19	530	26002
20	555	25917
21	579	25772
22	602	25603
23	621	25289
24	656	25612
25	682	25551
26	719	25928
27	744	25851
28	763	25554
29	779	25212
30	799	24997
31	825	24985
32	845	24776
33	875	24878
34	900	24826
35	935	25042
36	963	25064
37	984	24935
38	1015	25010
39	1031	24759
40	1045	24460
41	1056	24105
42	1067	23755
43	1077	23417
44	1089	23116
45	1100	22822
46	1126	22840
47	1146	22736
48	1163	22575
49	1179	22418
50	1199	22326
51	1214	22148
52	1276	22814
53	1314	23033
54	1342	23059
55	1373	23160
56	1397	23119
57	1415	22983
58	1440	22980
59	1462	22918
60	1492	22968
61	1524	23066
62	1607	23902
63	1657	24245
64	1679	24156
65	1696	24010
66	1718	23934
67	1745	23921
68	1766	23837
69	1779	23636
70	1811	23698
71	1827	23560
72	1840	23376
73	1856	23227
74	1870	23074
75	1883	22894
76	1897	22746
77	1912	22606
78	1935	22566
79	1954	22473
80	1972	22376
81	1990	22278
82	2004	22144
83	2024	22077
84	2055	22125
85	2070	22006
86	2114	22187
87	2129	22069
88	2146	21968
89	2168	21921
90	2245	22427
91	2257	22276
92	2268	22120
93	2281	21989
94	2315	22058
95	2332	21966
96	2345	21834
97	2360	21724
98	2379	21658
99	2399	21596
100	2425	21592
101	2445	21526
102	2467	21486
103	2482	21386
104	2500	21315
105	2523	21279
106	2536	21166
107	2576	21283
108	2596	21226
109	2613	21149
110	2645	21188
111	2659	21086
112	2676	21008
113	2707	21042
114	2729	21007
115	2797	21317
116	2809	21202
117	2820	21085
118	2835	20994
119	2849	20899
120	2865	20815
121	2884	20760
122	2901	20684
123	2918	20620
124	2933	20537
125	2949	20459
126	2968	20408
127	2985	20341
128	2999	20250
129	3013	20169
130	3030	20105
131	3084	20282
132	3129	20399
133	3141	20303
134	3150	20185
135	3163	20094
136	3198	20147
137	3224	20142
138	3249	20126
139	3281	20158
140	3310	20170
141	3325	20095
142	3335	19989
143	3348	19907
144	3386	19967
145	3398	19879
146	3411	19794
147	3423	19710
148	3440	19649
149	3456	19586
150	3476	19547
151	3488	19462
152	3496	19358
153	3508	19271
154	3521	19199
155	3529	19096
156	3542	19022
157	3554	18942
158	3561	18840
159	3572	18757
160	3583	18674
161	3593	18588
162	3608	18527
163	3676	18743
164	3722	18840
165	3754	18861
166	3776	18837
167	3804	18841
168	3838	18875
169	3884	18964
170	3935	19080
171	3997	19243
172	4038	19306
173	4054	19245
174	4088	19276
175	4122	19302
176	4198	19522
177	4247	19614
178	4323	19831
179	4339	19770
180	4356	19711
181	4368	19632
182	4382	19565
183	4401	19521
184	4419	19471
185	4444	19448
186	4481	19481
187	4498	19430
188	4512	19364
189	4551	19405
190	4567	19344
191	4586	19300
192	4601	19241
193	4615	19175
194	4629	19109
195	4642	19044
196	4658	18986
197	4667	18907
198	4680	18840
199	4699	18798
200	4712	18732
201	4723	18658
202	4734	18586
203	4763	18586
204	4776	18524
205	4799	18500
206	4812	18435
207	4825	18373
208	4839	18316
209	4857	18274
210	4868	18206
211	4878	18132
212	4890	18068
213	4903	18009
214	4912	17934
215	4927	17884
216	4940	17825
217	4954	17772
218	4978	17754
219	4992	17700
220	5019	17692
221	5041	17666
222	5054	17610
223	5062	17538
224	5083	17510
225	5101	17471
226	5112	17409
227	5132	17378
228	5142	17314
229	5156	17262
230	5164	17193
231	5173	17127
232	5185	17068
233	5193	17000
234	5217	16985
235	5238	16958
236	5255	16921
237	5270	16875
238	5287	16835
239	5324	16860
240	5337	16809
241	5350	16758
242	5358	16691
243	5369	16636
244	5375	16565
245	5384	16504
246	5393	16443
247	5402	16381
248	5410	16319
249	5420	16261
250	5429	16201
251	5436	16137
252	5446	16081
253	5455	16022
254	5467	15972
255	5475	15912
256	5484	15854
257	5492	15796
258	5500	15737
259	5510	15682
260	5518	15625
261	5530	15577
262	5546	15543
263	5586	15574
264	5619	15585
265	5648	15585
266	5679	15592
267	5689	15540
268	5698	15485
269	5706	15429
270	5713	15370
271	5722	15317
272	5731	15262
273	5744	15220
274	5752	15165
275	5766	15127
276	5790	15112
277	5807	15084
278	5845	15106
279	5867	15087
280	5895	15083
281	5911	15050
282	5930	15024
283	5966	15042
284	6018	15100
285	6042	15085
286	6071	15084
287	6090	15055
288	6115	15044
289	6144	15044
290	6162	15013
291	6179	14982
292	6242	15064
293	6277	15075
294	6356	15191
295	6410	15246
296	6451	15270
297	6470	15241
298	6491	15219
299	6520	15215
300	6588	15299
