iter	RMSEWithUncertainty
0	-2.156717866
1	-2.560980678
2	-2.651807898
3	-2.946520999
4	-3.043672081
5	-3.218540736
6	-3.299322788
7	-3.355430417
8	-3.367714712
9	-3.387984384
10	-3.386898559
11	-3.403264994
12	-3.408225736
13	-3.418978211
14	-3.419796948
15	-3.421505319
16	-3.427749588
17	-3.431434601
18	-3.433976731
19	-3.441280826
20	-3.444100063
21	-3.447297529
22	-3.449308002
23	-3.451999617
24	-3.454242341
25	-3.45797579
26	-3.461192273
27	-3.464628409
28	-3.469248665
29	-3.471011919
30	-3.473440625
31	-3.481434274
32	-3.483958663
33	-3.48579677
34	-3.494867806
35	-3.497081584
36	-3.51550886
37	-3.520839865
38	-3.525299706
39	-3.528304924
40	-3.535692595
41	-3.542379546
42	-3.545769904
43	-3.54750522
44	-3.549460521
45	-3.550665506
46	-3.552084232
47	-3.554809844
48	-3.556489255
49	-3.559454642
50	-3.563030896
51	-3.564572115
52	-3.568056167
53	-3.571135704
54	-3.574028639
55	-3.579445506
56	-3.581033284
57	-3.583033772
58	-3.584436043
59	-3.58654902
60	-3.588293324
61	-3.589693514
62	-3.591398212
63	-3.593699168
64	-3.595301477
65	-3.596793311
66	-3.597661297
67	-3.598354165
68	-3.599509348
69	-3.602252104
70	-3.602840528
71	-3.605964286
72	-3.607001748
73	-3.607867348
74	-3.609592713
75	-3.611209109
76	-3.611913857
77	-3.612493472
78	-3.61487769
79	-3.616738181
80	-3.617810291
81	-3.619243795
82	-3.62020566
83	-3.622781958
84	-3.624041781
85	-3.62592417
86	-3.626842563
87	-3.627243868
88	-3.628449785
89	-3.629671597
90	-3.632046052
91	-3.633158512
92	-3.634925567
93	-3.636464039
94	-3.638338896
95	-3.642293998
96	-3.643115857
97	-3.643924029
98	-3.644811551
99	-3.646901311
100	-3.650666205
101	-3.651255603
102	-3.65278575
103	-3.655433323
104	-3.656960714
105	-3.658018347
106	-3.659008988
107	-3.660113218
108	-3.661504482
109	-3.663553143
110	-3.66442825
111	-3.665313452
112	-3.667065401
113	-3.668379481
114	-3.670343501
115	-3.671940677
116	-3.67341883
117	-3.675016459
118	-3.676280255
119	-3.677148361
120	-3.678211319
121	-3.679165139
122	-3.681356321
123	-3.682466824
124	-3.683009136
125	-3.684368524
126	-3.686301007
127	-3.6866344
128	-3.688136527
129	-3.688997099
130	-3.690404735
131	-3.693172993
132	-3.694188433
133	-3.695918412
134	-3.696926079
135	-3.69819494
136	-3.699408518
137	-3.700490371
138	-3.701797899
139	-3.702395841
140	-3.704039158
141	-3.705001536
142	-3.70656325
143	-3.707333116
144	-3.708149852
145	-3.710364922
146	-3.711164169
147	-3.712215958
148	-3.713149519
149	-3.714641768
150	-3.716288133
151	-3.716804291
152	-3.718308938
153	-3.7191533
154	-3.720238225
155	-3.723485177
156	-3.724807901
157	-3.726031378
158	-3.72837773
159	-3.729455313
160	-3.73059548
161	-3.731286659
162	-3.73215099
163	-3.733070431
164	-3.734775585
165	-3.736407737
166	-3.737233665
167	-3.739206185
168	-3.739248167
169	-3.740212215
170	-3.742237835
171	-3.743265807
172	-3.744204304
173	-3.745643637
174	-3.747250379
175	-3.748397512
176	-3.749127218
177	-3.751629275
178	-3.752816425
179	-3.752811031
180	-3.753833645
181	-3.756112784
182	-3.757300113
183	-3.758258531
184	-3.759419225
185	-3.760864775
186	-3.762780677
187	-3.763971189
188	-3.765247567
189	-3.765796326
190	-3.766788253
191	-3.768366141
192	-3.769038506
193	-3.769689873
194	-3.770826175
195	-3.771372348
196	-3.771875665
197	-3.771557301
198	-3.771285873
199	-3.772753307
200	-3.77461475
201	-3.775668813
202	-3.776113297
203	-3.777546808
204	-3.778544065
205	-3.779479975
206	-3.781097294
207	-3.782587997
208	-3.783141687
209	-3.784068205
210	-3.784507525
211	-3.785111639
212	-3.786609962
213	-3.787154703
214	-3.787832309
215	-3.788547065
216	-3.789108013
217	-3.788252793
218	-3.788602034
219	-3.789432386
220	-3.789850014
221	-3.790503211
222	-3.790579604
223	-3.791704855
224	-3.792310951
225	-3.794586033
226	-3.795324087
227	-3.797186229
228	-3.798668992
229	-3.799813141
230	-3.80064381
231	-3.802016373
232	-3.802443981
233	-3.802330973
234	-3.803117349
235	-3.802862392
236	-3.803541318
237	-3.804549983
238	-3.805662436
239	-3.806387391
240	-3.806926104
241	-3.807092939
242	-3.808024213
243	-3.809195151
244	-3.810052785
245	-3.810948433
246	-3.811876167
247	-3.813361669
248	-3.815316625
249	-3.816172745
250	-3.815650914
251	-3.816802941
252	-3.815776705
253	-3.817854614
254	-3.818262264
255	-3.819361414
256	-3.819797098
257	-3.820621046
258	-3.821692507
259	-3.822446282
260	-3.823352025
261	-3.824083728
262	-3.824520743
263	-3.824730909
264	-3.824427041
265	-3.825130055
266	-3.826290224
267	-3.827486478
268	-3.828158444
269	-3.828888873
270	-3.82952753
271	-3.830955743
272	-3.832141655
273	-3.832431494
274	-3.834159645
275	-3.835113677
276	-3.835645585
277	-3.836501007
278	-3.837302547
279	-3.838651246
280	-3.839389414
281	-3.84036046
282	-3.840955015
283	-3.841604917
284	-3.842187892
285	-3.842118014
286	-3.843176619
287	-3.842347304
288	-3.84369201
289	-3.844580291
290	-3.844481319
291	-3.845217444
292	-3.845890382
293	-3.844393297
294	-3.846537854
295	-3.847372704
296	-3.848035284
297	-3.848345653
298	-3.84966258
299	-3.849935699
300	-3.850042734
301	-3.851130854
302	-3.852218943
303	-3.853823894
304	-3.854894055
305	-3.856179582
306	-3.856821883
307	-3.858248695
308	-3.859022569
309	-3.859310669
310	-3.860087585
311	-3.860713326
312	-3.860785958
313	-3.861588449
314	-3.86195825
315	-3.861542429
316	-3.862863431
317	-3.863603588
318	-3.863738161
319	-3.864697306
320	-3.865762718
321	-3.866630753
322	-3.867256983
323	-3.868342696
324	-3.868658766
325	-3.868371916
326	-3.867260114
327	-3.869221082
328	-3.868582316
329	-3.869831329
330	-3.870543179
331	-3.87185771
332	-3.872883296
333	-3.873330977
334	-3.873582762
335	-3.874209102
336	-3.874963186
337	-3.875736068
338	-3.87616804
339	-3.876523972
340	-3.876133601
341	-3.876967902
342	-3.87787973
343	-3.878158254
344	-3.877888069
345	-3.878369634
346	-3.880042136
347	-3.879822074
348	-3.881135944
349	-3.881768631
350	-3.882432647
351	-3.882529473
352	-3.883309592
353	-3.883879512
354	-3.884832714
355	-3.886008245
356	-3.886366404
357	-3.887095538
358	-3.887879873
359	-3.889184879
360	-3.890124018
361	-3.890692098
362	-3.89199679
363	-3.892432017
364	-3.893595959
365	-3.894878365
366	-3.894782612
367	-3.894624883
368	-3.895555379
369	-3.89670004
370	-3.896990267
371	-3.897713803
372	-3.898038106
373	-3.89884247
374	-3.899476111
375	-3.89979345
376	-3.900393975
377	-3.901693433
378	-3.902239005
379	-3.903105156
380	-3.90418109
381	-3.90486373
382	-3.905719599
383	-3.906283999
384	-3.906982146
385	-3.90749827
386	-3.907795695
387	-3.908075955
388	-3.907088228
389	-3.908106832
390	-3.909275242
391	-3.910040547
392	-3.910208
393	-3.909971747
394	-3.910688232
395	-3.910796457
396	-3.91084626
397	-3.910517848
398	-3.909983694
399	-3.91111732
400	-3.91166085
401	-3.912263132
402	-3.912699373
403	-3.913332137
404	-3.913841572
405	-3.914830347
406	-3.915764591
407	-3.916510432
408	-3.917096753
409	-3.917498907
410	-3.918234304
411	-3.918580375
412	-3.919032706
413	-3.918433919
414	-3.917789083
415	-3.919234909
416	-3.918735877
417	-3.920280823
418	-3.920933368
419	-3.92201386
420	-3.922352479
421	-3.923042902
422	-3.924924946
423	-3.925846773
424	-3.92631959
425	-3.927371325
426	-3.928700459
427	-3.928926248
428	-3.92859955
429	-3.929801432
430	-3.930679195
431	-3.930318462
432	-3.929348299
433	-3.930384464
434	-3.930992511
435	-3.931824625
436	-3.932284816
437	-3.933207393
438	-3.934359699
439	-3.93391931
440	-3.935141874
441	-3.935161752
442	-3.935998414
443	-3.937173132
444	-3.938201475
445	-3.938637704
446	-3.935760517
447	-3.936716246
448	-3.937877826
449	-3.938319971
450	-3.939311079
451	-3.939877006
452	-3.939377056
453	-3.940384898
454	-3.938085001
455	-3.93819608
456	-3.938601606
457	-3.93886101
458	-3.939686916
459	-3.938832758
460	-3.939158595
461	-3.93990886
462	-3.940166619
463	-3.940769465
464	-3.941260498
465	-3.942925873
466	-3.942935651
467	-3.943967497
468	-3.943034349
469	-3.943944542
470	-3.944060539
471	-3.942489324
472	-3.943452126
473	-3.945996375
474	-3.946429253
475	-3.947431454
476	-3.947213534
477	-3.947073072
478	-3.947870377
479	-3.948925993
480	-3.949276221
481	-3.950168524
482	-3.950776657
483	-3.952131426
484	-3.952538343
485	-3.953032292
486	-3.954033932
487	-3.951996282
488	-3.954716358
489	-3.9553661
490	-3.956506722
491	-3.957891538
492	-3.95829951
493	-3.956384006
494	-3.956679926
495	-3.958955517
496	-3.959022688
497	-3.958852039
498	-3.959145142
499	-3.958683496
500	-3.959797916
501	-3.959276447
502	-3.960310377
503	-3.960070699
504	-3.960846747
505	-3.960263289
506	-3.96118207
507	-3.962107155
508	-3.962139131
509	-3.963571949
510	-3.963549587
511	-3.963605902
512	-3.964909001
513	-3.964433765
514	-3.965339144
515	-3.966815132
516	-3.967105155
517	-3.967564519
518	-3.968558697
519	-3.968999275
520	-3.968656526
521	-3.97000183
522	-3.969774164
523	-3.969151515
524	-3.970613135
525	-3.971347715
526	-3.971835677
527	-3.97228829
528	-3.970998313
529	-3.971430098
530	-3.972374339
531	-3.972842093
532	-3.974176161
533	-3.97441246
534	-3.97546635
535	-3.975109209
536	-3.975678052
537	-3.976272437
538	-3.977058522
539	-3.975148085
540	-3.976273255
541	-3.97603726
542	-3.975711115
543	-3.976222948
544	-3.977733959
545	-3.977800235
546	-3.977332228
547	-3.978037961
548	-3.978970629
549	-3.979639509
550	-3.980196784
551	-3.981229746
552	-3.981613392
553	-3.981586625
554	-3.980760284
555	-3.980670135
556	-3.981409515
557	-3.982614063
558	-3.983708268
559	-3.98395167
560	-3.984825092
561	-3.985522786
562	-3.98670632
563	-3.984294218
564	-3.984215226
565	-3.986060974
566	-3.985657522
567	-3.986163034
568	-3.98722502
569	-3.986555884
570	-3.988233087
571	-3.988114783
572	-3.986464117
573	-3.988063518
574	-3.988952034
575	-3.984683476
576	-3.988722911
577	-3.989537871
578	-3.989691159
579	-3.99026965
580	-3.989916669
581	-3.988704126
582	-3.989430008
583	-3.989835399
584	-3.989906644
585	-3.989861659
586	-3.990393274
587	-3.991247893
588	-3.991286428
589	-3.992387333
590	-3.993343862
591	-3.993384551
592	-3.993748276
593	-3.993955183
594	-3.994942743
595	-3.995431043
596	-3.99618609
597	-3.995563029
598	-3.996766543
599	-3.996136763
600	-3.996532048
601	-3.995161006
602	-3.997035989
603	-3.997225148
604	-3.996656167
605	-3.99828788
606	-3.998907303
607	-4.000016974
608	-4.0005348
609	-4.000915047
610	-4.001345736
611	-4.002119025
612	-4.003304045
613	-4.002379916
614	-4.002135558
615	-4.001228545
616	-4.002498481
617	-4.003060767
618	-4.003652746
619	-4.004183413
620	-4.003954923
621	-4.005148642
622	-4.005411803
623	-4.004994245
624	-4.004795844
625	-4.005562686
626	-4.006487575
627	-4.00626439
628	-4.006473027
629	-4.007225786
630	-4.007575254
631	-4.008029598
632	-4.00809028
633	-4.00830643
634	-4.009898837
635	-4.010773285
636	-4.011164869
637	-4.012367783
638	-4.013303852
639	-4.014714563
640	-4.017407109
641	-4.016085041
642	-4.01795224
643	-4.018662749
644	-4.018464684
645	-4.019403432
646	-4.019548763
647	-4.020133123
648	-4.020967727
649	-4.02140272
650	-4.021482904
651	-4.021817826
652	-4.022291028
653	-4.023511801
654	-4.02367447
655	-4.024045088
656	-4.024002874
657	-4.024783088
658	-4.025593504
659	-4.026234097
660	-4.026786441
661	-4.027943872
662	-4.027179136
663	-4.027662168
664	-4.028347701
665	-4.027771543
666	-4.02780289
667	-4.028906995
668	-4.02850174
669	-4.027956262
670	-4.028901981
671	-4.030446921
672	-4.030753061
673	-4.031214098
674	-4.031936212
675	-4.032223758
676	-4.032182248
677	-4.032243928
678	-4.031574503
679	-4.032328698
680	-4.032627873
681	-4.03349154
682	-4.033794213
683	-4.034590095
684	-4.034971439
685	-4.035675143
686	-4.033465746
687	-4.03435503
688	-4.036278512
689	-4.036485432
690	-4.037068874
691	-4.037447389
692	-4.036601411
693	-4.036288281
694	-4.038684564
695	-4.039202867
696	-4.039663186
697	-4.039952746
698	-4.039688653
699	-4.040388283
700	-4.035890467
701	-4.037802809
702	-4.038748841
703	-4.037180381
704	-4.039142592
705	-4.036193909
706	-4.038564703
707	-4.038568649
708	-4.039510764
709	-4.039983683
710	-4.040036426
711	-4.04115399
712	-4.039342959
713	-4.038609231
714	-4.037731271
715	-4.038872521
716	-4.039010145
717	-4.03995111
718	-4.040500091
719	-4.039674504
720	-4.04098196
721	-4.041347396
722	-4.041476445
723	-4.041456177
724	-4.042273999
725	-4.041593795
726	-4.042985163
727	-4.043290064
728	-4.044294827
