iter	Passed	Remaining
0	143	287433
1	146	146421
2	149	99820
3	152	75977
4	154	61761
5	157	52235
6	159	45421
7	162	40550
8	165	36719
9	168	33620
10	172	31189
11	176	29169
12	179	27455
13	183	26033
14	186	24637
15	189	23550
16	192	22457
17	196	21679
18	199	20811
19	202	20039
20	204	19292
21	206	18592
22	209	18008
23	213	17585
24	216	17119
25	219	16635
26	221	16182
27	223	15748
28	227	15436
29	229	15093
30	232	14750
31	234	14423
32	236	14118
33	238	13819
34	243	13656
35	246	13429
36	248	13186
37	251	12960
38	253	12738
39	256	12571
40	261	12488
41	264	12315
42	266	12141
43	271	12064
44	276	12027
45	279	11888
46	282	11738
47	288	11714
48	294	11717
49	297	11588
50	300	11478
51	304	11391
52	308	11347
53	312	11251
54	314	11138
55	321	11161
56	324	11071
57	328	10991
58	331	10898
59	334	10801
60	337	10731
61	340	10649
62	343	10547
63	345	10453
64	348	10368
65	353	10358
66	357	10310
67	359	10227
68	362	10150
69	365	10069
70	368	10023
71	373	10001
72	375	9921
73	378	9844
74	381	9779
75	386	9795
76	390	9740
77	393	9686
78	396	9640
79	401	9638
80	404	9594
81	408	9552
82	410	9487
83	413	9420
84	416	9383
85	419	9332
86	421	9275
87	424	9214
88	426	9156
89	428	9096
90	432	9068
91	434	9014
92	437	8961
93	439	8904
94	441	8849
95	444	8814
96	447	8783
97	450	8739
98	452	8692
99	455	8653
100	458	8619
101	460	8574
102	464	8556
103	467	8515
104	469	8478
105	473	8464
106	476	8431
107	480	8413
108	482	8375
109	486	8353
110	488	8321
111	491	8289
112	495	8271
113	498	8244
114	501	8225
115	504	8194
116	508	8180
117	512	8178
118	516	8166
119	525	8234
120	550	8556
121	557	8581
122	566	8638
123	572	8661
124	595	8934
125	603	8976
126	607	8963
127	611	8948
128	632	9179
129	643	9261
130	652	9305
131	657	9305
132	660	9278
133	664	9256
134	667	9226
135	672	9210
136	676	9203
137	681	9191
138	683	9157
139	687	9136
140	691	9114
141	694	9091
142	697	9060
