iter	RMSEWithUncertainty
0	-2.189486197
1	-2.283969729
2	-2.349148765
3	-2.424928531
4	-2.480732678
5	-2.538920132
6	-2.618428364
7	-2.692222713
8	-2.761597379
9	-2.82639664
10	-2.876289583
11	-2.923163144
12	-2.950639906
13	-2.983699535
14	-3.028035211
15	-3.049609602
16	-3.066434674
17	-3.096803414
18	-3.134499926
19	-3.163643129
20	-3.181047682
21	-3.196944485
22	-3.233918083
23	-3.248551256
24	-3.272870609
25	-3.305817466
26	-3.339111913
27	-3.350001068
28	-3.376641276
29	-3.38454762
30	-3.392998669
31	-3.410452996
32	-3.422647932
33	-3.431258219
34	-3.437216363
35	-3.442123891
36	-3.450854213
37	-3.4534157
38	-3.467712397
39	-3.471246972
40	-3.481037591
41	-3.484241884
42	-3.486074609
43	-3.490242286
44	-3.494721369
45	-3.498407148
46	-3.50299931
47	-3.504330229
48	-3.505763766
49	-3.509840622
50	-3.512769261
51	-3.513407435
52	-3.515367966
53	-3.516527436
54	-3.517693022
55	-3.522309971
56	-3.521555995
57	-3.522175836
58	-3.52298847
59	-3.521671279
60	-3.520398214
61	-3.524064018
62	-3.525275994
63	-3.52792435
64	-3.532103131
65	-3.533392433
66	-3.532644373
67	-3.533899251
68	-3.536202757
69	-3.539077209
70	-3.539871709
71	-3.544696036
72	-3.549685838
73	-3.550940819
74	-3.552954891
75	-3.553750935
76	-3.556485263
77	-3.557502591
78	-3.559510909
79	-3.561438964
80	-3.563012254
81	-3.564249842
82	-3.565115652
83	-3.566375597
84	-3.567140634
85	-3.568758598
86	-3.570263595
87	-3.572282022
88	-3.574231966
89	-3.575650917
90	-3.576243982
91	-3.577367931
92	-3.577233993
93	-3.578042594
94	-3.580354908
95	-3.581177216
96	-3.582204915
97	-3.583632687
98	-3.585101589
99	-3.585933846
100	-3.588442169
101	-3.589407014
102	-3.590654489
103	-3.591255303
104	-3.592447854
105	-3.593422955
106	-3.594622287
107	-3.595612727
108	-3.596347048
109	-3.598100571
110	-3.598794588
111	-3.599993676
112	-3.600917775
113	-3.601765753
114	-3.604077538
115	-3.605791988
116	-3.6067882
117	-3.608781567
118	-3.609667833
119	-3.61025072
120	-3.610777362
121	-3.61182138
122	-3.612227334
123	-3.613817874
124	-3.614847003
125	-3.615702359
126	-3.616403246
127	-3.617253794
128	-3.618195921
129	-3.618770986
130	-3.619467587
131	-3.620262824
132	-3.620827882
133	-3.621906287
134	-3.622948148
135	-3.623633257
136	-3.624213174
137	-3.624832669
138	-3.625325545
139	-3.625990089
140	-3.62657676
141	-3.627886631
142	-3.628746138
143	-3.629553068
144	-3.629813315
145	-3.630456313
146	-3.631841718
147	-3.632233199
148	-3.632709156
149	-3.633245204
150	-3.633880631
151	-3.639501572
152	-3.640592896
153	-3.641329462
154	-3.641960461
155	-3.643559722
156	-3.644683712
157	-3.6453186
158	-3.64693384
159	-3.647465472
160	-3.648297989
161	-3.64880105
162	-3.649314543
163	-3.650131871
164	-3.650642761
165	-3.65122805
166	-3.65163239
167	-3.652088629
168	-3.652465061
169	-3.653259429
170	-3.654215335
171	-3.654911205
172	-3.655777059
173	-3.657132943
174	-3.65843863
175	-3.660291998
176	-3.661259498
177	-3.662393228
178	-3.663098599
179	-3.664718059
180	-3.665287346
181	-3.666055048
182	-3.666974657
183	-3.667266846
184	-3.667669791
185	-3.668785661
186	-3.669295319
187	-3.669502481
188	-3.670697412
189	-3.671540691
190	-3.671956211
191	-3.672333832
192	-3.673141867
193	-3.673813944
194	-3.674932365
195	-3.676292903
196	-3.676586292
197	-3.6777708
198	-3.678709626
199	-3.679559471
200	-3.679879667
201	-3.680488975
202	-3.680807375
203	-3.681613499
204	-3.682453154
205	-3.683140115
206	-3.683286052
207	-3.683748187
208	-3.684824041
209	-3.685105678
210	-3.686157051
211	-3.686507947
212	-3.686914884
213	-3.687711405
214	-3.688137773
215	-3.688861898
216	-3.689465603
217	-3.689498194
218	-3.689805163
219	-3.690910257
220	-3.692106718
221	-3.692448116
222	-3.69294262
223	-3.694156164
224	-3.694681581
225	-3.69538991
226	-3.696145451
227	-3.696562832
228	-3.696689798
229	-3.697572618
230	-3.698056724
231	-3.69842104
232	-3.699306415
233	-3.699973912
234	-3.700644651
235	-3.701039788
236	-3.701399718
237	-3.701674989
238	-3.7020549
239	-3.70279056
240	-3.703484555
241	-3.704172758
242	-3.704672084
243	-3.705079168
244	-3.70580906
245	-3.706415061
246	-3.70687207
247	-3.707127955
248	-3.707357682
249	-3.708360836
250	-3.70869193
251	-3.709238831
252	-3.709547909
253	-3.709855172
254	-3.710252747
255	-3.710708683
256	-3.71143063
257	-3.711843522
258	-3.712386305
259	-3.712803669
260	-3.712901811
261	-3.713138691
262	-3.713712453
263	-3.713950626
264	-3.714379721
265	-3.714925715
266	-3.715355579
267	-3.715973452
268	-3.716412344
269	-3.716582761
270	-3.716810646
271	-3.717181695
272	-3.717654353
273	-3.71796838
274	-3.71865542
275	-3.718516355
276	-3.718898351
277	-3.719669941
278	-3.720450902
279	-3.720907231
280	-3.721173362
281	-3.721924552
282	-3.722196524
283	-3.722544941
284	-3.722984596
285	-3.723571454
286	-3.724072997
287	-3.724202603
288	-3.7244425
289	-3.724734783
290	-3.725028614
291	-3.725880414
292	-3.726717726
293	-3.726960504
294	-3.727485109
295	-3.728996885
296	-3.730090082
297	-3.730366222
298	-3.731288267
299	-3.731679376
300	-3.732132518
301	-3.732190453
302	-3.732614509
303	-3.733450083
304	-3.733578988
305	-3.733803117
306	-3.73450221
307	-3.734780093
308	-3.734989037
309	-3.735093145
310	-3.735591125
311	-3.735954833
312	-3.735650869
313	-3.736096805
314	-3.736461505
315	-3.73696829
316	-3.737669896
317	-3.737902025
318	-3.738573191
319	-3.738792956
320	-3.738417755
321	-3.73869362
322	-3.73937657
323	-3.739893544
324	-3.740435772
325	-3.740532944
326	-3.741005654
327	-3.741592976
328	-3.742135048
329	-3.743660195
330	-3.744179425
331	-3.744618195
332	-3.744805982
333	-3.745076557
334	-3.745573664
335	-3.745687727
336	-3.746190327
337	-3.746438995
338	-3.74662542
339	-3.746971707
340	-3.747265787
341	-3.747771535
342	-3.747975087
343	-3.748694139
344	-3.749063184
345	-3.749739068
346	-3.749856089
347	-3.750323396
348	-3.75057753
349	-3.75099254
350	-3.751296711
351	-3.751495506
352	-3.752061296
353	-3.75235718
354	-3.753293944
355	-3.753999841
356	-3.753853525
357	-3.754428054
358	-3.754829741
359	-3.755164435
360	-3.755727004
361	-3.755889055
362	-3.757369046
363	-3.757841954
364	-3.758268447
365	-3.758525429
366	-3.75896783
367	-3.759257382
368	-3.759340079
369	-3.759309227
370	-3.760041138
371	-3.76066781
372	-3.760662803
373	-3.761401007
374	-3.76167729
375	-3.762408729
376	-3.762839736
377	-3.763561839
378	-3.764129285
379	-3.764683268
380	-3.765099679
381	-3.765449835
382	-3.764765578
383	-3.765917335
384	-3.766240323
385	-3.766421491
386	-3.767092452
387	-3.767336266
388	-3.767941435
389	-3.768234495
390	-3.768740281
391	-3.768155218
392	-3.768707514
393	-3.76932602
394	-3.769478728
395	-3.770002234
396	-3.770454284
397	-3.77142501
398	-3.772178236
399	-3.772416255
400	-3.77274049
401	-3.772984784
402	-3.773492871
403	-3.773653967
404	-3.773851268
405	-3.774071099
406	-3.774324471
407	-3.774795782
408	-3.775314639
409	-3.775889019
410	-3.776219755
411	-3.776350118
412	-3.776836423
413	-3.776913119
414	-3.777295484
415	-3.777477812
416	-3.777725505
417	-3.778242688
418	-3.778234448
419	-3.778477026
420	-3.779111387
421	-3.779166966
422	-3.779487386
423	-3.779685953
424	-3.779834622
425	-3.780254995
426	-3.780367085
427	-3.780318182
428	-3.780728979
429	-3.781174398
430	-3.78158968
431	-3.780842845
432	-3.781190823
433	-3.781375707
434	-3.781155826
435	-3.781219186
436	-3.78257628
437	-3.782008117
438	-3.782598625
439	-3.782757014
440	-3.783465614
441	-3.78528705
442	-3.784748021
443	-3.784506296
444	-3.784630202
445	-3.784956232
446	-3.784747447
447	-3.785775697
448	-3.786135306
449	-3.786328398
450	-3.787863892
451	-3.788132372
452	-3.787874278
453	-3.788254302
454	-3.789723439
455	-3.789942005
456	-3.790430966
457	-3.790949476
458	-3.791552885
459	-3.792025768
460	-3.792386896
461	-3.792902363
462	-3.793112388
463	-3.793432402
464	-3.793617468
465	-3.793938065
466	-3.794290927
467	-3.794644241
468	-3.794669816
469	-3.794987557
470	-3.795264835
471	-3.795913111
472	-3.79626857
473	-3.796030755
474	-3.796513292
475	-3.796765246
476	-3.796913139
477	-3.796515675
478	-3.797032198
479	-3.79675772
480	-3.796877411
481	-3.797262635
482	-3.797897101
483	-3.798345039
484	-3.799479984
485	-3.799709462
486	-3.800066961
487	-3.800560672
488	-3.801039617
489	-3.801691829
490	-3.801865189
491	-3.802148181
492	-3.802480273
493	-3.802473945
494	-3.802931053
495	-3.80345957
496	-3.803569434
497	-3.803939843
498	-3.804256123
499	-3.804454376
500	-3.804686838
501	-3.805103326
502	-3.805177134
503	-3.805445305
504	-3.805541169
