iter	Passed	Remaining
0	2	5653
1	5	5044
2	7	4762
3	9	4698
4	11	4574
5	13	4448
6	15	4360
7	17	4331
8	19	4283
9	21	4263
10	23	4209
11	25	4216
12	27	4218
13	29	4194
14	31	4205
15	33	4177
16	35	4144
17	37	4141
18	39	4145
19	41	4150
20	43	4126
21	46	4141
22	48	4126
23	49	4106
24	51	4099
25	54	4136
26	57	4172
27	59	4183
28	61	4178
29	63	4162
30	65	4150
31	67	4143
32	69	4163
33	72	4197
34	75	4212
35	77	4224
36	79	4219
37	81	4224
38	84	4229
39	86	4232
40	88	4236
41	90	4233
42	92	4229
43	94	4221
44	97	4214
45	99	4221
46	101	4219
47	103	4216
48	105	4206
49	107	4201
50	109	4193
51	112	4216
52	115	4226
53	117	4242
54	119	4243
55	122	4249
56	124	4244
57	127	4259
58	129	4267
59	132	4278
60	134	4282
61	137	4284
62	139	4278
63	141	4284
64	143	4281
65	146	4284
66	148	4286
67	150	4285
68	153	4285
69	155	4297
70	157	4291
71	159	4283
72	162	4278
73	164	4274
74	166	4276
75	168	4276
76	171	4284
77	173	4284
78	176	4285
79	178	4286
80	180	4276
81	182	4265
82	184	4259
83	186	4259
84	189	4258
85	191	4258
86	193	4257
87	195	4256
88	198	4254
89	200	4253
90	202	4248
91	204	4246
92	207	4246
93	209	4245
94	211	4248
95	214	4257
96	217	4263
97	219	4267
98	222	4269
99	224	4270
100	230	4339
101	236	4403
102	243	4480
103	248	4525
104	250	4525
105	253	4522
106	255	4528
107	258	4527
108	260	4519
109	262	4512
110	264	4504
111	266	4498
112	269	4494
113	272	4502
114	274	4506
115	277	4507
116	279	4502
117	281	4493
118	284	4489
119	286	4484
120	288	4477
121	290	4473
122	292	4468
123	294	4459
124	296	4453
125	299	4451
126	301	4446
127	303	4442
128	306	4440
129	308	4436
130	310	4429
131	312	4425
132	315	4423
133	317	4421
134	319	4415
135	321	4411
136	323	4405
137	326	4404
138	328	4402
139	331	4399
140	333	4396
141	335	4392
142	337	4388
143	340	4384
144	343	4391
145	345	4391
146	348	4387
147	350	4382
148	352	4376
149	354	4373
150	356	4369
151	359	4364
152	361	4358
153	363	4352
154	365	4347
155	367	4342
156	370	4343
157	373	4353
158	376	4359
159	379	4366
160	384	4391
161	390	4425
162	393	4437
163	398	4465
164	404	4494
165	407	4503
166	410	4510
167	414	4518
168	417	4520
169	420	4527
170	423	4528
171	425	4526
172	430	4545
173	438	4602
174	441	4602
175	444	4610
176	448	4623
177	451	4625
178	454	4624
179	457	4628
180	460	4632
181	463	4632
182	466	4632
183	469	4632
184	473	4644
185	478	4668
186	482	4673
187	485	4681
188	488	4683
189	491	4686
190	495	4688
191	497	4688
192	500	4688
193	503	4689
194	506	4690
195	509	4691
196	512	4690
197	515	4694
198	518	4695
199	522	4703
200	527	4717
201	530	4722
202	534	4731
203	538	4739
204	541	4743
205	546	4760
206	556	4823
207	560	4831
208	564	4838
209	568	4846
210	571	4847
211	575	4852
212	583	4897
213	587	4905
214	597	4962
215	602	4974
216	608	4998
217	614	5023
218	617	5024
219	621	5028
220	624	5026
221	627	5025
222	630	5026
223	633	5025
224	636	5023
225	639	5021
226	642	5018
227	645	5013
228	648	5014
229	652	5019
230	656	5025
231	659	5022
232	661	5017
233	665	5021
234	668	5019
235	671	5015
236	673	5011
237	676	5009
238	680	5013
239	684	5019
240	687	5018
241	690	5014
242	693	5015
243	696	5012
244	699	5011
245	702	5006
246	704	5001
247	708	5004
248	711	5005
249	714	5003
250	717	5002
251	721	5005
252	724	5002
253	727	4999
254	730	5000
255	733	4997
256	738	5011
257	743	5018
258	747	5024
259	751	5028
260	754	5025
261	757	5024
262	760	5025
263	763	5023
264	768	5029
265	771	5028
266	773	5023
267	776	5020
268	781	5026
269	784	5026
270	788	5029
271	790	5023
272	793	5021
273	797	5023
274	801	5026
275	804	5025
276	807	5022
277	810	5021
278	813	5018
279	816	5017
280	819	5014
281	823	5016
282	826	5012
283	829	5010
284	832	5008
285	835	5005
286	838	5003
287	841	4999
288	844	4998
289	847	4995
290	849	4990
291	856	5008
292	860	5011
293	862	5006
294	865	5003
295	886	5105
296	896	5139
297	902	5152
298	910	5181
299	917	5201
300	927	5237
301	933	5250
302	947	5308
303	960	5358
304	966	5371
305	971	5378
306	978	5398
307	995	5466
308	999	5470
309	1006	5486
310	1011	5495
311	1016	5500
312	1021	5508
313	1029	5525
314	1034	5536
315	1046	5578
316	1052	5587
317	1056	5587
318	1069	5636
319	1074	5642
320	1085	5677
321	1092	5691
322	1098	5702
323	1102	5702
324	1105	5697
325	1108	5693
326	1111	5689
327	1115	5686
328	1119	5683
329	1122	5680
330	1126	5679
331	1129	5674
332	1132	5671
333	1135	5666
334	1139	5661
335	1141	5654
336	1145	5654
337	1148	5649
338	1152	5644
339	1155	5639
340	1159	5638
341	1163	5639
342	1166	5636
343	1169	5631
344	1173	5628
345	1176	5624
346	1179	5620
347	1183	5616
348	1186	5612
349	1190	5610
350	1193	5605
351	1196	5600
352	1199	5595
353	1203	5595
354	1206	5592
355	1210	5589
356	1213	5584
357	1216	5580
358	1220	5577
359	1222	5569
360	1225	5564
361	1228	5559
362	1232	5559
363	1236	5556
364	1239	5553
365	1242	5546
366	1245	5542
367	1249	5539
368	1252	5534
369	1255	5528
370	1258	5523
371	1261	5522
372	1265	5521
373	1268	5516
374	1271	5509
375	1275	5510
376	1280	5512
377	1285	5515
378	1289	5515
379	1293	5512
380	1296	5508
381	1298	5501
382	1302	5497
383	1306	5497
384	1309	5493
385	1312	5488
386	1314	5480
387	1318	5476
388	1321	5474
389	1325	5472
390	1328	5466
391	1332	5464
392	1335	5462
393	1338	5456
394	1341	5451
395	1344	5445
396	1347	5440
397	1350	5435
398	1353	5429
399	1356	5424
400	1359	5419
401	1365	5427
402	1369	5427
403	1373	5427
404	1378	5428
405	1382	5426
406	1385	5421
407	1389	5421
408	1393	5420
409	1396	5415
410	1399	5409
411	1401	5403
412	1405	5399
413	1407	5393
414	1411	5389
415	1413	5383
416	1416	5378
417	1420	5374
418	1423	5369
419	1426	5365
420	1429	5360
421	1432	5356
422	1435	5351
423	1438	5347
424	1441	5343
425	1444	5337
426	1449	5338
427	1452	5334
428	1455	5329
429	1458	5324
430	1461	5321
431	1465	5318
432	1468	5313
433	1471	5308
434	1473	5301
435	1478	5304
436	1482	5303
437	1486	5300
438	1489	5295
439	1493	5294
440	1496	5290
441	1500	5287
442	1503	5283
443	1507	5283
444	1512	5284
445	1516	5283
446	1520	5282
447	1524	5281
448	1528	5279
449	1531	5273
450	1534	5271
451	1538	5270
452	1542	5267
453	1545	5262
454	1559	5296
455	1563	5293
456	1567	5292
457	1574	5300
458	1578	5298
459	1583	5301
460	1589	5305
461	1591	5299
462	1596	5299
463	1599	5296
464	1603	5293
465	1606	5289
466	1610	5287
467	1614	5285
468	1617	5281
469	1621	5277
470	1627	5284
471	1634	5292
472	1639	5293
473	1644	5295
474	1648	5293
475	1652	5292
476	1658	5296
477	1665	5301
478	1671	5307
479	1677	5311
480	1682	5312
481	1687	5315
482	1691	5312
483	1694	5307
484	1699	5307
485	1704	5310
486	1709	5312
487	1714	5311
488	1718	5309
489	1722	5307
490	1725	5304
491	1731	5306
492	1735	5303
493	1738	5300
494	1747	5313
495	1751	5310
496	1754	5305
497	1760	5311
498	1766	5314
499	1772	5316
500	1776	5314
501	1779	5310
502	1782	5305
503	1785	5300
504	1789	5297
505	1793	5295
506	1797	5291
507	1800	5288
508	1806	5292
509	1810	5288
510	1814	5286
511	1820	5291
512	1825	5291
513	1829	5288
514	1836	5295
515	1842	5299
516	1848	5301
517	1852	5299
518	1855	5295
519	1859	5293
520	1863	5290
521	1866	5286
522	1871	5284
523	1874	5278
524	1877	5274
525	1880	5269
526	1883	5265
527	1886	5259
528	1891	5259
529	1895	5256
530	1898	5251
531	1901	5248
532	1905	5244
533	1908	5240
534	1911	5234
535	1914	5228
536	1917	5223
