iter	Passed	Remaining
0	8	8964
1	16	8065
2	22	7390
3	29	7324
4	36	7331
5	44	7395
6	51	7322
7	59	7393
8	66	7358
9	73	7308
10	79	7166
11	85	7035
12	91	6969
13	97	6850
14	103	6799
15	109	6729
16	115	6666
17	121	6632
18	127	6567
19	134	6574
20	140	6530
21	145	6478
22	152	6466
23	157	6417
24	164	6431
25	171	6421
26	178	6424
27	185	6426
28	190	6380
29	197	6381
30	203	6349
31	209	6328
32	215	6311
33	220	6278
34	227	6269
35	233	6243
36	239	6223
37	245	6224
38	251	6188
39	256	6166
40	262	6141
41	272	6205
42	278	6199
43	283	6150
44	288	6117
45	293	6093
46	299	6071
47	305	6066
48	311	6046
49	317	6037
50	323	6014
51	328	5988
52	334	5978
53	340	5959
54	345	5940
55	352	5934
56	357	5908
57	365	5934
58	371	5917
59	378	5933
60	389	5995
61	397	6017
62	403	5994
63	410	5996
64	415	5982
65	421	5970
66	428	5963
67	433	5946
68	439	5934
69	445	5915
70	451	5901
71	457	5893
72	462	5876
73	469	5874
74	476	5875
75	482	5871
76	489	5867
77	496	5872
78	503	5873
79	510	5866
80	516	5859
81	521	5838
82	528	5834
83	534	5828
84	539	5811
85	546	5807
86	552	5793
87	558	5789
88	564	5781
89	570	5771
90	576	5763
91	583	5754
92	589	5749
93	594	5733
94	600	5724
95	607	5722
96	614	5724
97	623	5741
98	632	5752
99	638	5748
100	644	5738
101	652	5740
102	658	5731
103	665	5733
104	671	5724
105	677	5716
106	684	5712
107	690	5699
108	696	5691
109	701	5679
110	708	5675
111	716	5677
112	723	5678
113	731	5681
114	737	5678
115	744	5674
116	750	5666
117	757	5661
118	762	5645
119	768	5633
120	774	5627
121	780	5613
122	789	5630
123	796	5630
124	805	5636
125	810	5624
126	817	5618
127	822	5606
128	829	5599
129	835	5592
130	841	5579
131	847	5573
132	853	5563
133	863	5577
134	869	5568
135	874	5553
136	880	5544
137	885	5533
138	891	5524
139	897	5514
140	903	5503
141	909	5494
142	915	5484
143	921	5476
144	926	5466
145	932	5454
146	939	5448
147	944	5440
148	951	5433
149	956	5422
150	962	5409
151	968	5403
152	973	5391
153	979	5379
154	985	5371
155	990	5360
156	996	5348
157	1002	5341
158	1007	5329
159	1013	5323
160	1019	5313
161	1025	5305
162	1032	5299
163	1037	5290
164	1044	5288
165	1051	5280
166	1056	5272
167	1062	5263
168	1068	5253
169	1075	5251
170	1081	5244
171	1089	5244
172	1095	5234
173	1101	5227
174	1107	5223
175	1114	5215
176	1120	5209
177	1126	5200
178	1132	5195
179	1138	5187
180	1145	5181
181	1151	5174
182	1157	5168
183	1163	5161
184	1169	5151
185	1175	5144
186	1181	5135
187	1186	5124
188	1193	5122
189	1200	5118
190	1210	5126
191	1216	5121
192	1222	5113
193	1228	5103
194	1233	5093
195	1239	5086
196	1245	5076
197	1252	5071
198	1258	5064
199	1263	5053
200	1269	5045
201	1274	5033
202	1279	5023
203	1285	5016
204	1290	5006
205	1296	4995
206	1302	4988
207	1307	4977
208	1312	4968
209	1319	4961
210	1323	4950
211	1330	4946
212	1336	4937
213	1341	4927
214	1348	4923
215	1353	4913
216	1359	4905
217	1365	4896
218	1370	4886
219	1376	4880
220	1381	4870
221	1387	4862
222	1393	4856
223	1399	4847
224	1404	4839
225	1410	4831
226	1415	4821
227	1422	4816
228	1427	4807
229	1432	4797
230	1438	4789
231	1444	4780
232	1450	4773
233	1456	4768
234	1462	4762
235	1469	4755
236	1475	4751
237	1482	4747
238	1488	4737
239	1494	4731
240	1501	4727
241	1507	4721
242	1514	4717
243	1520	4712
244	1528	4710
245	1534	4704
246	1542	4702
247	1550	4701
248	1557	4698
249	1564	4692
250	1571	4689
251	1577	4682
252	1589	4692
253	1598	4693
254	1610	4705
255	1620	4709
256	1628	4708
257	1640	4716
258	1650	4720
259	1659	4723
260	1680	4758
261	1697	4782
262	1709	4790
263	1719	4792
264	1725	4785
265	1733	4782
266	1741	4780
267	1749	4778
268	1756	4772
269	1763	4769
270	1771	4765
271	1778	4761
272	1786	4758
273	1794	4754
274	1801	4750
275	1808	4742
276	1815	4739
277	1823	4736
278	1831	4732
279	1839	4729
280	1845	4723
281	1853	4720
282	1861	4715
283	1868	4711
284	1876	4706
285	1884	4704
286	1892	4700
287	1899	4694
288	1907	4692
289	1914	4686
290	1923	4686
291	1930	4681
292	1938	4676
293	1945	4672
294	1953	4667
295	1961	4666
296	1972	4669
297	1980	4665
298	1989	4664
299	1998	4663
300	2006	4659
301	2013	4654
302	2020	4648
303	2026	4640
304	2034	4635
305	2041	4630
306	2049	4626
307	2057	4623
308	2065	4619
309	2073	4615
310	2081	4611
311	2088	4606
312	2096	4601
313	2104	4598
314	2112	4592
315	2119	4588
316	2126	4581
317	2133	4575
318	2140	4569
319	2148	4565
320	2156	4560
321	2163	4556
322	2172	4554
323	2180	4548
324	2187	4543
325	2194	4537
326	2201	4530
327	2208	4524
328	2215	4518
329	2223	4514
330	2231	4510
331	2239	4505
332	2248	4502
333	2256	4499
334	2264	4494
335	2271	4489
336	2279	4485
337	2287	4480
338	2293	4472
339	2301	4468
340	2307	4458
341	2313	4450
342	2319	4442
343	2325	4433
344	2333	4429
345	2339	4422
346	2346	4415
347	2352	4407
348	2358	4398
349	2364	4390
350	2369	4381
351	2375	4372
352	2382	4367
353	2390	4363
354	2400	4360
355	2408	4357
356	2416	4353
357	2423	4346
358	2429	4337
359	2435	4329
360	2442	4322
361	2447	4314
362	2453	4304
363	2457	4294
364	2463	4285
365	2470	4278
366	2475	4270
367	2481	4262
368	2487	4254
369	2493	4245
370	2499	4238
371	2505	4230
372	2511	4221
373	2517	4213
374	2522	4204
375	2529	4197
376	2534	4188
377	2540	4179
378	2546	4172
379	2551	4163
380	2557	4155
381	2564	4148
382	2570	4140
383	2576	4133
384	2582	4125
385	2588	4117
386	2594	4109
387	2600	4102
388	2607	4095
389	2612	4086
390	2619	4079
391	2625	4071
392	2630	4063
393	2637	4056
394	2642	4047
395	2648	4039
396	2653	4030
397	2658	4021
398	2664	4013
399	2671	4006
400	2676	3997
401	2682	3990
402	2688	3982
403	2695	3975
404	2701	3968
405	2707	3961
406	2714	3955
407	2720	3947
408	2727	3940
409	2734	3934
410	2740	3927
411	2747	3920
412	2753	3913
413	2759	3906
414	2766	3899
415	2773	3893
416	2780	3887
417	2787	3880
418	2793	3873
419	2800	3867
420	2810	3865
421	2818	3860
422	2825	3854
423	2832	3847
424	2839	3841
425	2845	3834
426	2851	3826
427	2857	3819
428	2864	3812
429	2869	3804
430	2876	3797
431	2882	3790
432	2887	3781
433	2894	3774
434	2899	3766
435	2905	3758
436	2912	3751
437	2917	3744
438	2924	3736
439	2929	3728
440	2935	3720
441	2941	3713
442	2946	3705
443	2953	3698
444	2958	3690
445	2964	3682
446	2971	3675
447	2976	3667
448	2982	3660
449	2988	3652
450	2994	3644
451	3000	3637
452	3005	3629
453	3011	3621
454	3017	3614
455	3023	3607
456	3029	3600
457	3035	3591
458	3041	3584
459	3047	3577
460	3052	3568
461	3058	3561
462	3064	3554
463	3069	3545
464	3075	3538
465	3080	3529
466	3085	3522
467	3092	3515
468	3097	3507
469	3104	3500
470	3109	3492
471	3115	3485
472	3122	3478
473	3127	3471
474	3134	3464
475	3140	3457
476	3145	3449
477	3152	3442
478	3158	3434
479	3164	3428
480	3169	3419
481	3174	3411
482	3181	3405
483	3187	3397
484	3193	3390
485	3198	3383
486	3204	3375
487	3213	3371
488	3221	3366
489	3228	3360
490	3233	3352
491	3239	3344
492	3245	3337
493	3250	3329
494	3256	3322
495	3261	3314
496	3267	3306
497	3273	3299
498	3279	3292
499	3285	3285
500	3290	3277
501	3295	3269
502	3302	3263
503	3308	3256
504	3315	3249
505	3320	3242
506	3326	3234
507	3333	3228
508	3338	3220
509	3345	3214
510	3351	3206
511	3356	3199
512	3363	3192
513	3369	3186
514	3376	3179
515	3381	3172
516	3387	3164
517	3393	3157
518	3399	3150
519	3405	3143
520	3411	3136
521	3418	3130
522	3424	3123
523	3431	3117
524	3437	3109
525	3442	3102
526	3448	3095
527	3454	3088
528	3460	3081
529	3466	3074
530	3472	3067
531	3478	3059
532	3484	3053
533	3490	3045
534	3496	3038
535	3501	3031
536	3506	3023
537	3513	3016
538	3519	3009
539	3524	3002
540	3530	2995
541	3536	2988
542	3541	2980
543	3547	2973
544	3553	2966
545	3559	2959
546	3564	2952
547	3570	2944
548	3576	2938
549	3581	2930
550	3588	2924
551	3594	2917
552	3601	2910
553	3607	2903
554	3612	2896
555	3623	2893
556	3631	2887
557	3639	2883
558	3646	2876
559	3653	2870
560	3659	2863
561	3667	2858
562	3674	2852
563	3682	2847
564	3690	2840
565	3697	2835
566	3703	2828
567	3710	2822
568	3717	2815
569	3724	2809
570	3730	2802
571	3736	2795
572	3743	2789
573	3749	2782
574	3761	2780
575	3767	2773
576	3774	2766
577	3779	2759
578	3786	2753
579	3792	2746
580	3799	2739
581	3805	2733
582	3811	2726
583	3818	2720
584	3824	2713
585	3831	2706
586	3837	2699
587	3843	2693
588	3850	2686
589	3856	2679
590	3863	2673
591	3869	2666
592	3876	2660
593	3883	2654
594	3889	2647
595	3896	2641
596	3903	2634
597	3910	2628
598	3916	2621
599	3924	2616
600	3930	2609
601	3937	2603
602	3943	2596
603	3950	2589
604	3956	2583
605	3963	2576
606	3970	2570
607	3976	2563
608	3984	2557
609	3990	2551
610	3997	2545
611	4004	2538
