iter	Passed	Remaining
0	273	60401
1	532	58604
2	781	57032
3	1023	55799
4	1280	55554
5	1541	55494
6	1790	54987
7	2042	54644
8	2307	54607
9	2568	54452
10	2826	54225
11	3114	54496
12	3375	54274
13	3649	54216
14	3922	54137
15	4222	54364
16	4493	54187
17	4767	54028
18	5030	53746
19	5299	53528
20	5572	53340
21	5834	53045
22	6097	52754
23	6361	52482
24	6627	52227
25	6895	51978
26	7160	51712
27	7429	51477
28	7695	51212
29	7964	50972
30	8246	50810
31	8527	50629
32	8790	50348
33	9071	50162
34	9345	49933
35	9616	49686
36	9877	49388
37	10155	49175
38	10418	48884
39	10697	48675
40	10978	48467
41	11245	48196
42	11527	47986
43	11842	47908
44	12125	47692
45	12130	46412
46	12413	46219
47	12669	45925
48	12945	45704
49	12951	44552
50	13210	44292
51	13479	44067
52	13744	43825
53	14011	43592
54	14271	43332
55	14531	43075
56	14807	42864
57	15078	42635
58	15348	42403
59	15620	42175
60	15892	41945
61	16180	41757
62	16465	41555
63	16732	41309
64	17006	41077
65	17270	40820
66	17553	40609
67	17821	40359
68	18086	40105
69	18362	39873
70	18629	39620
71	18889	39352
72	19155	39099
73	19442	38885
74	19714	38641
75	19981	38385
76	20253	38140
77	20523	37890
78	20806	37662
79	21060	37382
80	21351	37166
81	21612	36899
82	21878	36639
83	22151	36392
84	22423	36141
85	22688	35879
86	22959	35627
87	23223	35363
88	23523	35152
89	23528	34508
90	23788	34245
91	24070	34012
92	24346	33770
93	24611	33513
94	24877	33257
95	25140	32996
96	25405	32739
97	25668	32478
98	25928	32214
99	26193	31956
100	26458	31697
101	26710	31423
102	26972	31162
103	27241	30908
104	27517	30662
105	27782	30403
106	28068	30167
107	28341	29915
108	28607	29657
109	28870	29395
110	29142	29142
111	29475	28949
112	29775	28721
113	30084	28501
114	30365	28252
115	30652	28010
116	30911	27740
117	31191	27490
118	31468	27237
119	31737	26977
120	32003	26713
121	32284	26462
122	32558	26205
123	32826	25943
124	33107	25691
125	33378	25431
126	33642	25165
127	33912	24904
128	33919	24453
129	34183	24191
130	34449	23930
131	34706	23663
132	34970	23401
133	35227	23134
134	35509	22884
135	35781	22626
136	36071	22379
137	36076	21959
138	36347	21703
139	36606	21441
140	36879	21185
141	37137	20922
142	37414	20669
143	37687	20413
144	37952	20154
145	38221	19896
146	38497	19641
147	38770	19385
148	39032	19123
149	39310	18868
150	39607	18623
151	39889	18370
152	40166	18114
153	40439	17856
154	40718	17600
155	40993	17343
156	41265	17084
157	41547	16829
158	41821	16570
159	42108	16316
160	42403	16065
161	42683	15808
162	42968	15553
163	43257	15298
164	43548	15043
165	43826	14784
166	44131	14534
167	44420	14277
168	44700	14018
169	44987	13760
170	45247	13494
171	45516	13231
172	45781	12966
173	46034	12699
174	46305	12436
175	46577	12173
176	46844	11909
177	47110	11645
178	47375	11380
179	47652	11119
180	47930	10857
181	48194	10592
182	48465	10328
183	48752	10068
184	49073	9814
185	49349	9551
186	49610	9285
187	49885	9021
188	50160	8758
189	50429	8493
190	50683	8226
191	50946	7960
192	51224	7696
193	51508	7434
194	51764	7167
195	51773	6867
196	52038	6603
197	52172	6323
198	52445	6061
199	52706	5797
200	52977	5534
201	53248	5272
202	53508	5008
203	53770	4744
204	54034	4480
205	54297	4217
206	54579	3955
207	54861	3692
208	55183	3432
209	55470	3169
210	55743	2906
211	56015	2642
212	56321	2379
213	56596	2115
214	56874	1851
215	57138	1587
216	57415	1322
217	57691	1058
218	57956	793
219	58233	529
220	58497	264
221	58759	0
