iter	Passed	Remaining
0	11	22652
1	14	14396
2	17	11734
3	19	9969
4	22	8813
5	24	8094
6	27	7811
7	30	7703
8	33	7496
9	36	7282
10	39	7153
11	42	7042
12	45	6913
13	228	32440
14	235	31174
15	244	30351
16	250	29230
17	255	28173
18	275	28768
19	291	28857
20	297	27993
21	301	27118
22	305	26299
23	312	25700
24	318	25199
25	323	24541
26	331	24202
27	336	23716
28	340	23141
29	345	22696
30	349	22177
31	352	21685
32	356	21256
33	360	20857
34	367	20616
35	372	20331
36	378	20087
37	382	19747
38	386	19414
39	390	19153
40	395	18893
41	398	18580
42	401	18287
43	406	18092
44	411	17862
45	415	17641
46	419	17418
47	425	17299
48	429	17117
49	433	16897
50	437	16724
51	442	16591
52	446	16392
53	449	16206
54	455	16095
55	460	15989
56	463	15807
57	466	15626
58	470	15481
59	473	15323
60	476	15145
61	478	14968
62	481	14797
63	484	14644
64	489	14559
65	491	14409
66	494	14257
67	496	14111
68	499	13971
69	502	13866
70	506	13750
71	508	13621
72	511	13495
73	513	13368
74	517	13283
75	520	13182
76	523	13074
77	526	12963
78	528	12850
79	531	12761
80	534	12667
81	538	12584
82	540	12485
83	543	12390
84	546	12303
85	550	12251
86	553	12169
87	555	12076
88	558	11986
89	560	11904
90	565	11859
91	568	11793
92	571	11716
93	574	11640
94	577	11573
95	581	11534
96	584	11476
97	587	11405
98	590	11335
99	592	11264
100	597	11227
101	602	11202
102	605	11149
103	608	11094
104	613	11065
105	616	11019
106	619	10962
107	622	10897
108	624	10833
109	628	10793
110	631	10741
111	634	10688
112	636	10634
113	639	10577
114	641	10520
115	645	10476
116	648	10433
117	650	10378
118	653	10323
119	655	10270
120	659	10237
121	662	10191
122	664	10147
123	667	10098
124	669	10046
125	672	9997
126	675	9962
127	678	9928
128	681	9887
129	684	9842
130	686	9800
131	690	9765
132	693	9733
133	696	9699
134	699	9668
135	702	9630
136	706	9605
137	709	9577
138	712	9544
139	716	9520
140	720	9493
141	724	9476
142	727	9441
143	730	9410
144	733	9381
145	739	9391
146	744	9387
147	748	9362
148	751	9339
149	756	9331
150	760	9312
151	764	9289
152	769	9288
153	773	9276
154	777	9258
155	783	9265
156	789	9271
157	795	9271
158	804	9318
159	812	9344
160	826	9438
161	833	9460
162	846	9535
163	857	9600
164	869	9675
165	878	9711
166	887	9736
167	894	9754
168	902	9781
169	909	9791
170	922	9862
171	927	9861
172	933	9860
173	947	9942
174	955	9967
175	964	10000
176	975	10046
177	986	10099
178	999	10163
179	1012	10236
180	1023	10290
181	1034	10337
182	1045	10376
183	1054	10407
184	1071	10508
185	1081	10542
186	1090	10570
187	1097	10582
188	1106	10600
189	1112	10594
190	1117	10583
191	1123	10581
192	1131	10592
193	1140	10620
194	1145	10605
195	1151	10595
196	1157	10595
197	1162	10582
198	1168	10571
199	1173	10565
200	1178	10550
201	1185	10549
202	1190	10537
203	1196	10529
204	1203	10540
205	1208	10528
206	1214	10516
207	1220	10516
208	1226	10506
209	1231	10493
210	1237	10489
211	1242	10479
212	1247	10463
213	1252	10456
214	1257	10443
215	1262	10429
216	1268	10423
217	1273	10411
218	1278	10395
219	1284	10392
220	1289	10381
221	1295	10373
222	1300	10363
223	1305	10348
224	1310	10336
225	1317	10342
226	1330	10391
227	1338	10405
228	1346	10415
229	1353	10417
230	1359	10408
231	1365	10407
232	1372	10410
233	1383	10437
234	1388	10428
235	1394	10423
236	1400	10417
237	1407	10416
238	1415	10431
239	1429	10483
240	1439	10508
241	1448	10519
242	1455	10523
243	1463	10535
244	1472	10551
245	1482	10571
246	1492	10591
247	1499	10590
248	1507	10598
249	1513	10595
250	1521	10605
251	1531	10623
252	1541	10643
253	1547	10638
254	1557	10657
255	1562	10646
256	1572	10666
257	1578	10655
258	1590	10691
259	1596	10681
260	1602	10680
261	1608	10668
262	1614	10660
263	1620	10652
264	1629	10666
265	1635	10659
266	1643	10669
267	1649	10660
268	1657	10668
269	1663	10659
270	1674	10681
271	1682	10688
272	1690	10691
273	1696	10683
274	1704	10690
275	1710	10684
276	1721	10707
277	1726	10697
278	1743	10751
279	1752	10766
280	1758	10757
281	1763	10744
282	1770	10744
283	1776	10734
284	1783	10729
285	1787	10712
286	1792	10696
287	1796	10680
288	1801	10668
289	1807	10658
290	1812	10641
291	1817	10632
292	1822	10616
293	1826	10599
294	1834	10602
295	1840	10592
296	1844	10578
297	1849	10564
298	1853	10546
299	1858	10529
300	1866	10538
301	1874	10540
302	1884	10552
303	1895	10575
304	1903	10577
305	1912	10587
306	1918	10582
307	1923	10568
308	1928	10554
309	1932	10536
310	1937	10519
311	1947	10536
312	1952	10521
313	1959	10522
314	1963	10502
315	1967	10484
316	1971	10465
317	1975	10449
318	1979	10428
319	1982	10407
320	1985	10384
321	1989	10365
322	1992	10343
323	1995	10323
324	1998	10301
325	2001	10279
326	2005	10260
327	2008	10239
328	2012	10220
329	2015	10199
330	2018	10178
331	2022	10162
332	2026	10143
333	2029	10121
334	2032	10099
335	2035	10081
336	2039	10063
337	2042	10040
338	2044	10019
339	2047	9997
340	2050	9975
341	2054	9960
342	2057	9939
343	2060	9917
344	2062	9895
345	2065	9874
346	2069	9859
347	2072	9838
348	2075	9816
349	2078	9796
350	2080	9775
351	2084	9759
352	2087	9741
353	2090	9721
354	2093	9700
