iter	RMSEWithUncertainty
0	-2.544791594
1	-2.545972839
2	-2.547069031
3	-2.548159764
4	-2.548972166
5	-2.550402831
6	-2.551406903
7	-2.552577189
8	-2.553907346
9	-2.554951493
10	-2.556252431
11	-2.557177142
12	-2.558376365
13	-2.559220926
14	-2.560302752
15	-2.561389054
16	-2.562120228
17	-2.563296027
18	-2.564482028
19	-2.565405264
20	-2.566193423
21	-2.566934471
22	-2.567787255
23	-2.568846544
24	-2.569661735
25	-2.570505452
26	-2.571159138
27	-2.571500518
28	-2.572291474
29	-2.57326229
30	-2.574047576
31	-2.574669831
32	-2.575155327
33	-2.57583356
34	-2.576497666
35	-2.577202218
36	-2.57797868
37	-2.578549372
38	-2.578976851
39	-2.579179822
40	-2.579928346
41	-2.580489972
42	-2.581164204
43	-2.581802734
44	-2.582340245
45	-2.58265993
46	-2.58298869
47	-2.583516294
48	-2.584198363
49	-2.584674136
50	-2.585327282
51	-2.585836669
52	-2.586521032
53	-2.587119635
54	-2.587669368
55	-2.587918337
56	-2.588381538
57	-2.588901684
58	-2.589444608
59	-2.590151786
60	-2.590769778
61	-2.591346902
62	-2.591682689
63	-2.592244248
64	-2.592787609
65	-2.593298933
66	-2.59377792
67	-2.594262778
68	-2.59472914
69	-2.595357545
70	-2.595649301
71	-2.596248693
72	-2.596575841
73	-2.59726569
74	-2.597642193
75	-2.598208969
76	-2.598733314
77	-2.599297389
78	-2.599455909
79	-2.599843041
80	-2.60027729
81	-2.600561782
82	-2.601043541
83	-2.601501993
84	-2.601970065
85	-2.602290137
86	-2.602557054
87	-2.60277577
88	-2.602992508
89	-2.603440274
90	-2.603998544
91	-2.604241483
92	-2.604597495
93	-2.605035646
94	-2.605295999
95	-2.605671054
96	-2.605794515
97	-2.606137798
98	-2.606557189
99	-2.60687294
100	-2.607080939
101	-2.607422621
102	-2.607697462
103	-2.60781759
104	-2.608064359
105	-2.608500207
106	-2.608806894
107	-2.609012011
108	-2.609392302
109	-2.609533514
110	-2.609871313
111	-2.609999249
112	-2.610201854
113	-2.610409026
114	-2.610687528
115	-2.610895267
116	-2.611135364
117	-2.611488897
118	-2.611790157
119	-2.612089546
120	-2.612574621
121	-2.612737356
122	-2.612932736
123	-2.613131696
124	-2.61334019
125	-2.613521922
126	-2.613681048
127	-2.614024221
128	-2.614234124
129	-2.614534017
130	-2.614687653
131	-2.614838147
132	-2.615158716
133	-2.615305337
134	-2.615513412
135	-2.615899453
136	-2.616137439
137	-2.616368871
138	-2.616525492
139	-2.616852705
140	-2.617174285
141	-2.617335345
142	-2.61746149
143	-2.617731348
144	-2.617873429
145	-2.617995863
146	-2.618185504
147	-2.61832662
148	-2.618530993
149	-2.618669091
150	-2.618770543
151	-2.618911572
152	-2.61905931
153	-2.619148959
154	-2.6193094
155	-2.619693878
156	-2.619804445
157	-2.620105289
158	-2.620388847
159	-2.62062846
160	-2.62091344
161	-2.621025765
162	-2.621151979
163	-2.621271901
164	-2.621424812
165	-2.621653905
166	-2.621860535
167	-2.622017188
168	-2.622183201
169	-2.622357951
170	-2.622507949
171	-2.622663369
172	-2.622771526
173	-2.622912909
174	-2.623073908
175	-2.623172371
176	-2.623409085
177	-2.623541782
178	-2.623840975
179	-2.623994793
180	-2.624280523
181	-2.624339582
182	-2.6245369
183	-2.624688969
184	-2.624761904
185	-2.624862009
186	-2.625016348
187	-2.625137269
188	-2.625245274
189	-2.62541868
190	-2.625589051
191	-2.625667935
192	-2.62584182
193	-2.625994264
194	-2.626140561
195	-2.626191259
196	-2.626343416
197	-2.626519573
198	-2.626680647
199	-2.626857531
200	-2.627092406
201	-2.627287688
202	-2.627374996
203	-2.627533871
204	-2.627713254
205	-2.627866931
206	-2.628005677
207	-2.628174869
208	-2.628321061
209	-2.628510832
210	-2.628640273
211	-2.62883171
212	-2.629008947
213	-2.629069114
214	-2.629151801
215	-2.629207478
216	-2.629315263
217	-2.6294051
218	-2.629559704
219	-2.629610927
220	-2.629793949
221	-2.629906781
222	-2.629996895
223	-2.630127676
224	-2.630288956
225	-2.630469215
226	-2.630654682
227	-2.630786212
228	-2.630902837
229	-2.630976987
230	-2.63109083
231	-2.631280332
232	-2.631390738
233	-2.631503646
234	-2.631567163
235	-2.631718466
236	-2.631878969
237	-2.631969919
238	-2.632114158
239	-2.632221953
240	-2.632316359
241	-2.632440856
242	-2.632480543
243	-2.632581315
244	-2.632643419
245	-2.632694961
246	-2.632766741
247	-2.632834821
248	-2.632939137
249	-2.632983897
250	-2.633141087
251	-2.633224119
252	-2.633342259
253	-2.633451027
254	-2.633488429
255	-2.633618345
256	-2.633665994
257	-2.633732459
258	-2.633812273
259	-2.633891655
260	-2.633942932
261	-2.634002145
262	-2.634081195
263	-2.634114142
264	-2.634219774
265	-2.634303141
266	-2.634377612
267	-2.63445303
268	-2.634516249
269	-2.634616026
270	-2.634734105
271	-2.634801416
272	-2.634979102
273	-2.635061069
274	-2.635130284
275	-2.635157395
276	-2.635220727
277	-2.635297317
278	-2.635435181
279	-2.635524384
280	-2.635621877
281	-2.635827782
282	-2.635947058
283	-2.636086104
284	-2.636163554
285	-2.63621504
286	-2.636431458
287	-2.636520555
288	-2.636559557
289	-2.636603868
290	-2.636750327
291	-2.636869348
292	-2.636950433
293	-2.637008252
294	-2.637073602
295	-2.637146266
296	-2.637212762
297	-2.6372911
298	-2.637424811
299	-2.637477293
300	-2.637572248
301	-2.637670851
302	-2.637730645
303	-2.637821352
304	-2.637931226
305	-2.637996376
306	-2.638120584
307	-2.638228142
308	-2.638398437
309	-2.638484422
310	-2.638599231
311	-2.638719183
312	-2.63877236
313	-2.638833906
314	-2.638963394
315	-2.639021865
316	-2.639068153
317	-2.639159069
318	-2.639213912
319	-2.639287783
320	-2.63933263
321	-2.639387288
322	-2.639432178
323	-2.639523957
324	-2.639592308
325	-2.639620581
326	-2.639654451
327	-2.639742803
328	-2.639779958
329	-2.639850763
330	-2.639914499
331	-2.640000264
332	-2.640105678
333	-2.640145742
334	-2.640267251
335	-2.640328447
336	-2.640382319
