iter	RMSE
0	220.0593365
1	216.4918353
2	212.9831016
3	209.5618977
4	207.1115877
5	203.6611116
6	200.7876052
7	197.4561508
8	194.6090349
9	191.895068
10	188.6286432
11	185.7816805
12	183.2849806
13	180.7646017
14	178.1274369
15	175.4605587
16	173.0642178
17	170.8361181
18	168.3266541
19	165.93158
20	164.1328179
21	162.0347767
22	159.6198795
23	157.276623
24	155.4911523
25	153.4656501
26	151.2504036
27	149.2188718
28	147.5479419
29	145.8378226
30	143.9928561
31	142.4811049
32	141.2660311
33	139.5474421
34	138.0811768
35	136.0844731
36	134.4028938
37	132.9699036
38	131.4800463
39	130.5462803
40	129.1072784
41	127.6828535
42	126.010685
43	124.7292498
44	123.5463048
45	122.2901563
46	120.9551491
47	119.6606368
48	118.3446293
49	117.3348422
50	116.1731483
51	115.0283929
52	113.7720221
53	112.4726052
54	111.2361585
55	110.1907992
56	109.0787042
57	107.8894439
58	106.9210883
59	105.7890507
60	104.8137398
61	103.8876661
62	102.8672056
63	101.8247338
64	100.811586
65	99.80769334
66	98.80764174
67	97.91061983
68	97.11534021
69	96.2470722
70	95.47626892
71	94.77684722
72	93.84153976
73	93.05853632
74	92.19893141
75	91.40475505
76	90.78780008
77	90.04149385
78	89.16804294
79	88.36832107
80	87.42941415
81	86.66062152
82	85.89157593
83	85.0649322
84	84.47957258
85	83.78183641
86	83.06238279
87	82.26410605
88	81.60175819
89	80.8330672
90	80.19567766
91	79.59019731
92	78.83357329
93	78.1274225
94	77.50168818
95	76.81310856
96	76.15820857
97	75.46749447
98	75.02462812
99	74.35566883
100	73.73371257
101	73.20837764
102	72.64174634
103	72.26556235
104	71.69715987
105	71.08920249
106	70.489265
107	69.91446139
108	69.42323552
109	68.8501446
110	68.43597069
111	67.94105036
112	67.50115347
113	66.91691162
114	66.33981464
115	65.89699915
116	65.32034678
117	64.75682875
118	64.26631359
119	63.80443673
120	63.37295574
121	62.8343564
122	62.37231569
123	61.88005201
124	61.40908055
125	60.92872406
126	60.48300296
127	60.09773396
128	59.57265599
129	59.102578
130	58.65085032
131	58.26170942
132	57.84494615
133	57.3888958
134	56.97623127
135	56.5372007
136	56.08043905
137	55.61983843
138	55.13618486
139	54.72230915
140	54.275259
141	53.8671979
142	53.44390084
143	53.0144656
144	52.67667103
145	52.22337095
146	51.87197401
147	51.54571448
148	51.14164613
149	50.79459131
150	50.44993918
151	50.08452131
152	49.7305036
153	49.35511029
154	48.97734978
155	48.61736652
156	48.2706471
157	47.92146265
158	47.5591947
159	47.18716711
160	46.8378242
161	46.49225294
162	46.19657885
163	45.83284442
164	45.48180223
165	45.15739169
166	44.83911442
167	44.49059834
168	44.15646266
169	43.83284951
170	43.52785238
171	43.21194835
172	42.89146677
173	42.59684091
174	42.28786586
175	42.01676417
176	41.72704498
177	41.42270256
178	41.1309432
179	40.86732586
180	40.59050241
181	40.32555211
182	40.05395107
183	39.80091454
184	39.52869837
185	39.26165062
186	38.98642101
187	38.74096306
188	38.47331179
189	38.21748951
190	37.98159956
191	37.75101099
192	37.51077845
193	37.21461809
194	36.95915873
195	36.69922866
196	36.40416319
197	36.15449492
198	35.92727992
199	35.65544564
200	35.43164674
201	35.18995584
202	34.95512815
203	34.72116267
204	34.53538942
205	34.31138654
206	34.08274739
207	33.82774376
208	33.57802232
209	33.36504589
210	33.16582232
211	33.01466797
212	32.79537667
213	32.61141523
214	32.39025202
215	32.16619524
216	31.96073972
217	31.75887543
218	31.57020959
219	31.35955339
220	31.19873398
221	31.00440569
222	30.84330361
223	30.64481215
224	30.44943461
225	30.22626107
226	29.98484572
227	29.7687557
228	29.57491805
229	29.37903256
230	29.20421449
231	29.0297097
232	28.8559431
233	28.68624804
234	28.47745787
235	28.30470484
236	28.12957768
237	27.97697574
238	27.8074493
239	27.61957416
240	27.43458374
241	27.2598346
242	27.10479195
243	26.94599402
244	26.82282202
245	26.6740231
246	26.51529028
247	26.35543674
248	26.23056621
249	26.0500874
250	25.89645297
251	25.72914787
252	25.57927044
253	25.42304259
254	25.28679384
255	25.14020596
256	24.97449691
257	24.81463746
258	24.71190977
259	24.55364028
260	24.43117472
261	24.28678112
262	24.16920273
263	24.06169399
264	23.92785604
265	23.82027467
266	23.69742168
267	23.56895496
268	23.42132858
269	23.28032707
270	23.13803496
271	22.99330283
272	22.86351671
273	22.72784947
274	22.5886782
275	22.44726491
276	22.33770903
277	22.22835852
278	22.12295271
279	22.00911322
280	21.91149577
281	21.7659745
282	21.62882455
283	21.51339261
284	21.42926223
285	21.31547008
286	21.21036947
287	21.12535757
288	20.99213028
289	20.8952522
290	20.77783045
291	20.64166801
292	20.55549904
293	20.45382013
294	20.36529739
295	20.2701249
296	20.17258166
297	20.0856906
298	19.98246299
299	19.84737942
300	19.74967094
301	19.63839568
302	19.54855989
303	19.46121737
304	19.37916714
305	19.29951488
306	19.22855462
307	19.17038901
308	19.06903831
309	18.96896794
310	18.86576113
311	18.73864193
312	18.6552286
313	18.5849068
314	18.48799116
315	18.43085472
316	18.35735442
317	18.25974689
318	18.15513674
319	18.0673757
320	17.96118007
321	17.8609439
322	17.79192247
323	17.70651919
324	17.59322898
325	17.51049213
326	17.46330821
327	17.34227738
328	17.24899443
329	17.15620154
330	17.06849014
331	16.99201541
332	16.93217612
333	16.8678945
334	16.8003909
335	16.71665501
336	16.66612601
337	16.57755516
338	16.50581699
339	16.42817588
340	16.34148375
341	16.27317604
342	16.19391927
343	16.15396252
344	16.08177667
345	16.00606962
346	15.9462775
347	15.86109911
348	15.7938068
349	15.68698953
350	15.59962976
351	15.53671196
352	15.46821643
353	15.39557917
354	15.35954288
355	15.28101223
356	15.21121359
357	15.12379315
358	15.05434338
359	14.99761967
360	14.93089703
361	14.8792965
362	14.82136255
363	14.78852673
364	14.71938313
365	14.65376697
366	14.60271921
367	14.54317559
368	14.50839197
369	14.45276857
370	14.38700462
371	14.31995875
372	14.2689618
373	14.20559717
374	14.15590208
375	14.10052321
376	14.03631717
377	13.99132824
378	13.92907963
379	13.87730079
380	13.81174561
381	13.75371304
382	13.68808498
383	13.64326694
384	13.60493929
385	13.57134685
386	13.525337
387	13.47743039
388	13.44272425
389	13.37737885
390	13.32549213
391	13.26384221
392	13.22196702
393	13.1548008
394	13.09113626
395	13.05006864
396	12.99814759
397	12.95388343
398	12.88941675
399	12.84619922
400	12.79453065
401	12.74949081
402	12.70168917
403	12.680982
404	12.63678895
405	12.59676142
406	12.5547093
407	12.50866147
408	12.47218737
409	12.42524804
410	12.40084382
411	12.37828622
412	12.34298471
413	12.32403582
414	12.26998372
415	12.25277493
416	12.19756733
417	12.15136996
418	12.10040452
419	12.05548951
420	11.99509522
421	11.94508433
422	11.89759605
423	11.84729736
424	11.78332749
425	11.73407715
426	11.68972352
427	11.64500013
428	11.61919509
429	11.58801062
430	11.57198302
431	11.5249184
432	11.48228547
433	11.43425656
434	11.39229587
435	11.37452524
436	11.35174819
437	11.31474693
438	11.26707601
439	11.21552908
440	11.17831466
441	11.16044514
442	11.11907049
443	11.09812976
444	11.05775351
445	11.02259554
446	10.99189612
447	10.93671094
448	10.8994096
449	10.8706773
450	10.82507309
451	10.76035944
452	10.74194152
453	10.703021
454	10.66743909
455	10.62688827
456	10.59498298
457	10.56297852
458	10.54839584
459	10.51867193
460	10.48329212
461	10.43201427
462	10.39142501
463	10.3749536
464	10.3473962
465	10.30162465
466	10.2877194
467	10.23803076
468	10.19774939
469	10.17111064
470	10.13507754
471	10.12229778
472	10.09760602
473	10.05737071
474	10.04610608
475	10.01104194
476	9.977072333
477	9.932305372
478	9.908159102
479	9.877262899
480	9.846947995
481	9.809332368
482	9.780240669
483	9.75678686
484	9.708042436
485	9.682628713
486	9.64838995
487	9.625660235
488	9.590938106
489	9.550554075
490	9.530004093
491	9.487765946
492	9.459633659
493	9.443719247
494	9.413692444
495	9.371101193
496	9.328957653
497	9.291467311
498	9.26167106
499	9.225322312
500	9.194707961
501	9.144995627
502	9.118313833
503	9.089408193
504	9.066247902
505	9.030032936
506	9.01045708
507	8.974796273
508	8.944767299
509	8.919634596
510	8.892702457
511	8.865717537
512	8.825901821
513	8.777404665
514	8.738551628
515	8.710096452
516	8.668999306
517	8.634042821
518	8.599284703
519	8.584886691
520	8.562308932
521	8.526739864
522	8.513917096
523	8.504768711
524	8.472642917
525	8.440932735
526	8.416988242
527	8.392736633
528	8.377501882
529	8.337555658
530	8.318738004
531	8.303363352
532	8.27939468
533	8.241461884
534	8.214128747
535	8.206112822
536	8.182479086
537	8.173639856
538	8.144633514
539	8.12266987
540	8.100173969
541	8.060881502
542	8.038261246
543	8.017294546
544	7.975361145
545	7.940879324
546	7.933229054
547	7.91021999
548	7.885143489
549	7.865162858
550	7.847537922
551	7.814636179
552	7.807691504
553	7.787850881
554	7.760576356
555	7.734022277
556	7.705893563
557	7.697414714
558	7.663026909
559	7.644453992
560	7.615101421
561	7.594975211
562	7.574767451
563	7.553780521
564	7.529557682
565	7.515056602
566	7.486287694
567	7.473946957
568	7.465989381
569	7.449167123
570	7.441216705
571	7.429949813
572	7.407760878
573	7.371161267
574	7.358148499
575	7.33204388
576	7.309061464
577	7.273788408
578	7.253318473
579	7.227168583
580	7.220255359
581	7.188275044
582	7.171567642
583	7.144749247
584	7.138620546
585	7.109801034
586	7.088734304
587	7.062942241
588	7.030025099
589	7.008603871
590	6.987203864
591	6.975543211
592	6.960587026
593	6.949902252
594	6.930828092
595	6.919610528
596	6.912552829
597	6.896204369
598	6.869318616
599	6.857174411
600	6.839879502
601	6.815095609
602	6.803670106
603	6.800106814
604	6.793821427
605	6.756317608
606	6.737354357
607	6.72223588
608	6.697064499
609	6.680023998
610	6.659781291
611	6.648453499
612	6.623902843
613	6.601163316
614	6.59713562
615	6.589042152
616	6.583766118
617	6.562327732
618	6.54347302
619	6.515100714
620	6.487399356
621	6.460304921
622	6.447784198
623	6.441609246
624	6.437346613
625	6.432971567
626	6.410032038
627	6.387928373
