iter	Passed	Remaining
0	5	5737
1	10	5376
2	13	4634
3	16	4145
4	21	4258
5	24	4063
6	27	3892
7	30	3769
8	34	3776
9	37	3710
10	40	3639
11	44	3644
12	47	3601
13	55	3887
14	60	3976
15	64	3948
16	68	3947
17	71	3898
18	74	3834
19	77	3782
20	82	3854
21	87	3888
22	90	3856
23	94	3843
24	100	3936
25	105	3963
26	143	5173
27	149	5196
28	152	5122
29	156	5051
30	159	4990
31	164	4973
32	168	4929
33	172	4906
34	178	4931
35	183	4914
36	187	4887
37	193	4898
38	197	4878
39	201	4836
40	206	4818
41	210	4806
42	215	4800
43	219	4777
44	225	4795
45	229	4765
46	233	4737
47	239	4759
48	244	4738
49	248	4730
50	252	4700
51	257	4702
52	261	4670
53	265	4642
54	268	4621
55	273	4602
56	276	4578
57	282	4581
58	287	4588
59	292	4577
60	297	4580
61	303	4588
62	309	4601
63	313	4584
64	319	4590
65	323	4576
66	328	4571
67	333	4564
68	339	4575
69	343	4562
70	347	4548
71	354	4565
72	359	4566
73	364	4564
74	371	4584
75	375	4561
76	378	4537
77	384	4550
78	388	4534
79	392	4518
80	398	4518
81	403	4512
82	408	4517
83	415	4527
84	421	4533
85	426	4530
86	433	4545
87	436	4527
88	440	4511
89	446	4510
90	452	4517
91	456	4508
92	463	4522
93	468	4514
94	472	4498
95	479	4514
96	486	4532
97	495	4556
98	500	4553
99	506	4558
100	514	4577
101	520	4584
102	527	4590
103	532	4583
104	537	4578
105	541	4570
106	547	4565
107	553	4568
108	558	4561
109	561	4545
110	565	4528
111	570	4522
112	575	4520
113	580	4508
114	584	4495
115	587	4474
116	593	4480
117	599	4484
118	606	4489
119	610	4478
120	614	4465
121	617	4447
122	621	4434
123	627	4429
124	631	4421
125	638	4427
126	643	4421
127	646	4407
128	651	4396
129	656	4391
130	660	4381
131	666	4383
132	672	4382
133	678	4387
134	682	4373
135	688	4374
136	695	4380
137	699	4369
138	706	4378
139	712	4374
140	716	4362
141	722	4368
142	729	4369
143	736	4376
144	742	4381
145	748	4377
146	755	4383
147	760	4379
148	767	4382
149	773	4380
150	779	4380
151	787	4391
152	792	4386
153	799	4390
154	805	4388
155	810	4384
156	817	4388
157	821	4376
158	824	4361
159	828	4349
160	833	4343
161	837	4332
162	842	4324
163	848	4324
164	853	4321
165	859	4315
166	866	4322
167	871	4314
168	876	4309
169	884	4318
170	891	4319
171	898	4324
172	903	4320
173	910	4323
174	916	4318
175	922	4319
176	931	4330
177	938	4335
178	946	4342
179	951	4335
180	956	4326
181	962	4324
182	967	4318
183	971	4307
184	977	4304
185	983	4304
186	992	4313
187	998	4314
188	1005	4316
189	1013	4319
190	1018	4312
191	1024	4313
192	1032	4316
