iter	Passed	Remaining
0	4	4168
1	6	3144
2	8	2741
3	10	2539
4	12	2404
5	14	2324
6	16	2299
7	19	2418
8	22	2436
9	23	2369
10	25	2310
11	27	2260
12	29	2248
13	33	2339
14	35	2308
15	37	2280
16	39	2257
17	40	2233
18	42	2213
19	44	2194
20	48	2272
21	52	2319
22	105	4483
23	107	4367
24	109	4259
25	111	4175
26	113	4099
27	115	4018
28	117	3937
29	119	3858
30	121	3786
31	122	3717
32	124	3655
33	127	3613
34	129	3573
35	131	3523
36	133	3471
37	135	3422
38	137	3376
39	139	3344
40	142	3330
41	144	3300
42	146	3264
43	148	3229
44	150	3193
45	152	3162
46	154	3132
47	157	3124
48	159	3095
49	161	3068
50	163	3042
51	165	3015
52	167	2989
53	169	2963
54	171	2940
55	174	2936
56	176	2925
57	178	2903
58	180	2880
59	182	2858
60	184	2836
61	186	2817
62	189	2813
63	191	2798
64	193	2781
65	195	2770
66	198	2767
67	200	2749
68	204	2756
69	208	2769
70	212	2777
71	214	2768
72	217	2761
73	221	2770
74	224	2766
75	226	2750
76	228	2736
77	230	2721
78	232	2706
79	237	2729
80	240	2733
81	243	2725
82	245	2711
83	247	2702
84	252	2717
85	255	2711
86	257	2697
87	259	2687
88	261	2676
89	263	2663
90	267	2676
91	271	2677
92	273	2667
93	275	2654
94	277	2642
95	279	2634
96	283	2642
97	286	2633
98	288	2621
99	290	2611
100	292	2607
101	296	2606
102	301	2621
103	303	2618
104	306	2612
105	308	2604
106	313	2615
107	316	2611
108	319	2607
109	321	2602
110	324	2596
111	326	2589
112	330	2592
113	332	2586
114	334	2577
115	337	2572
116	340	2571
117	344	2574
118	348	2578
119	350	2568
120	353	2570
121	356	2566
122	358	2557
123	363	2567
124	365	2560
125	368	2558
126	370	2548
127	372	2538
128	374	2529
129	379	2537
130	382	2539
131	385	2534
132	387	2527
133	389	2518
134	393	2519
135	397	2523
136	400	2521
137	402	2516
138	405	2509
139	409	2512
140	413	2517
141	415	2512
142	417	2504
143	420	2499
144	424	2504
145	427	2501
146	430	2498
147	432	2490
148	435	2484
149	438	2482
150	443	2493
151	446	2492
152	451	2497
153	456	2508
154	461	2516
155	466	2522
156	470	2526
157	474	2531
158	478	2529
159	482	2533
160	485	2532
161	489	2531
162	491	2525
163	494	2521
164	497	2515
165	499	2507
166	505	2519
167	508	2518
168	510	2511
169	512	2503
170	514	2496
171	519	2500
172	523	2500
173	525	2496
174	529	2494
175	531	2489
176	538	2503
177	542	2503
178	545	2503
179	551	2511
180	556	2517
181	560	2518
182	563	2514
183	568	2519
184	573	2526
185	577	2527
186	580	2522
187	585	2528
188	588	2523
189	590	2516
190	593	2512
191	598	2519
192	602	2517
193	604	2512
194	607	2509
195	611	2506
196	616	2513
197	620	2511
198	623	2509
199	626	2504
200	631	2509
201	634	2505
202	636	2500
203	639	2495
204	642	2492
205	648	2497
206	651	2496
207	654	2491
208	656	2484
209	658	2477
210	663	2482
211	667	2481
212	670	2475
213	672	2468
214	674	2461
215	680	2471
216	684	2469
217	687	2467
218	691	2466
219	696	2468
220	699	2464
221	702	2460
222	705	2457
223	710	2461
