iter	Passed	Remaining
0	1	3935
1	5	5717
2	7	5248
3	9	4700
4	10	4308
5	12	4041
6	13	3910
7	15	3754
8	16	3635
9	18	3761
10	21	3861
11	22	3794
12	24	3725
13	25	3641
14	27	3626
15	28	3584
16	30	3587
17	33	3696
18	36	3758
19	38	3779
20	39	3729
21	40	3682
22	42	3654
23	43	3618
24	45	3590
25	46	3563
26	49	3593
27	51	3639
28	53	3659
29	55	3620
30	56	3585
31	57	3564
32	59	3536
33	60	3504
34	61	3470
35	63	3440
36	64	3423
37	67	3480
38	69	3485
39	70	3460
40	71	3433
41	73	3414
42	74	3392
43	75	3367
44	77	3347
45	78	3325
46	79	3303
47	81	3331
48	83	3341
49	85	3344
50	87	3331
51	88	3319
52	89	3304
53	91	3289
54	92	3275
55	93	3260
56	95	3255
57	97	3265
58	99	3265
59	100	3256
60	102	3244
61	103	3235
62	104	3224
63	106	3209
64	107	3197
65	108	3184
66	109	3171
67	111	3167
68	113	3179
69	115	3183
70	116	3175
71	118	3165
72	119	3155
73	120	3143
74	121	3130
75	123	3118
76	124	3107
77	125	3101
78	127	3096
79	129	3096
80	130	3101
81	132	3095
82	134	3096
83	135	3099
84	137	3092
85	138	3088
86	140	3082
87	141	3079
88	143	3090
89	145	3095
90	147	3097
91	149	3102
92	151	3100
93	152	3098
94	154	3093
95	155	3089
96	157	3082
97	158	3078
98	160	3085
99	162	3084
100	164	3086
101	165	3081
102	166	3074
103	168	3065
104	169	3058
105	170	3049
106	171	3041
107	173	3036
108	174	3029
109	176	3030
110	178	3031
111	179	3029
112	181	3025
113	182	3019
114	183	3011
115	184	3004
116	186	2996
117	187	2989
118	188	2985
119	190	2988
120	192	2991
121	194	2994
122	196	2991
123	197	2986
124	198	2980
125	199	2973
126	201	2969
127	203	2976
128	206	2998
129	208	2998
130	209	2995
131	211	2992
132	212	2988
133	214	2983
134	215	2976
135	216	2973
136	218	2969
137	219	2963
138	221	2961
139	222	2962
140	224	2962
141	226	2964
142	227	2959
143	229	2953
144	230	2946
145	231	2939
146	232	2933
147	234	2931
148	235	2926
149	236	2920
150	238	2918
151	239	2916
152	242	2921
153	243	2917
154	244	2912
155	246	2911
156	247	2908
157	249	2905
158	250	2901
159	251	2896
160	253	2890
161	254	2891
162	256	2891
163	257	2887
164	259	2882
165	260	2878
166	261	2874
167	263	2873
168	265	2875
169	267	2876
170	269	2879
171	271	2884
172	273	2885
173	274	2881
174	275	2877
175	277	2872
176	278	2868
177	279	2864
178	281	2865
179	283	2868
180	285	2874
181	287	2872
182	288	2868
183	291	2873
184	293	2876
185	294	2876
186	296	2876
187	298	2873
188	299	2869
189	301	2874
190	304	2880
191	305	2878
192	307	2878
193	309	2876
194	310	2872
195	311	2868
196	313	2865
197	314	2860
198	317	2876
199	319	2878
200	321	2877
201	322	2874
202	324	2873
203	326	2872
204	328	2879
205	331	2884
206	334	2896
207	336	2895
208	337	2891
209	338	2887
210	340	2882
211	341	2878
212	342	2874
213	343	2870
214	345	2866
215	346	2864
216	348	2864
217	350	2861
218	351	2861
219	354	2865
220	356	2870
221	358	2872
222	360	2871
223	362	2873
224	364	2874
225	365	2872
226	367	2869
227	368	2867
228	370	2865
229	371	2862
230	374	2867
231	376	2872
232	378	2870
233	380	2875
