iter	Passed	Remaining
0	153	153220
1	156	77944
2	158	52692
3	160	40028
4	163	32457
5	165	27355
6	166	23681
7	168	20915
8	180	19917
9	182	18062
10	183	16539
11	185	15265
12	186	14185
13	188	13253
14	189	12443
15	190	11734
16	192	11109
17	193	10554
18	195	10073
19	196	9637
20	197	9230
21	199	8858
22	200	8522
23	201	8212
24	203	7930
25	204	7671
26	206	7427
27	207	7206
28	208	6994
29	210	6798
30	211	6625
31	213	6458
32	214	6297
33	216	6146
34	217	6001
35	219	5865
36	220	5736
37	221	5614
38	223	5498
39	224	5390
40	225	5285
41	227	5192
42	229	5099
43	230	5006
44	231	4919
45	233	4836
46	234	4756
47	235	4679
48	237	4605
49	238	4534
50	240	4467
51	241	4403
52	243	4349
53	244	4289
54	246	4231
55	247	4175
56	249	4121
57	250	4068
58	251	4018
59	253	3970
60	254	3921
61	256	3877
62	257	3832
63	259	3793
64	260	3751
65	262	3711
66	263	3672
67	265	3633
68	266	3597
69	268	3561
70	269	3525
71	270	3492
72	272	3459
73	273	3425
74	275	3397
75	276	3366
76	278	3336
77	279	3306
78	281	3279
79	282	3252
80	284	3224
81	285	3198
82	287	3172
83	288	3147
84	290	3124
85	291	3102
86	293	3079
87	294	3055
88	296	3033
89	297	3010
90	299	2988
91	300	2968
92	302	2947
93	303	2927
94	305	2909
95	307	2895
96	309	2877
97	310	2859
98	312	2842
99	313	2825
100	315	2807
101	317	2791
102	318	2774
103	320	2757
104	321	2742
105	323	2729
106	325	2715
107	327	2701
108	328	2686
109	330	2672
110	331	2658
111	333	2643
112	334	2629
113	336	2615
114	338	2604
115	340	2591
116	341	2579
117	343	2566
118	344	2553
119	346	2541
120	348	2529
121	349	2517
122	351	2505
123	353	2493
124	355	2485
125	356	2475
126	358	2464
127	360	2455
128	362	2444
129	363	2434
130	365	2423
131	367	2413
132	368	2403
133	370	2395
134	372	2385
135	373	2375
136	375	2365
137	377	2357
138	379	2347
139	380	2338
140	382	2329
141	384	2320
142	385	2312
143	387	2305
144	389	2299
145	392	2297
146	397	2304
147	400	2305
148	403	2305
149	405	2299
150	407	2291
151	409	2283
152	411	2275
153	412	2267
154	414	2259
155	416	2251
156	418	2246
157	420	2239
158	422	2233
159	423	2225
160	425	2217
161	427	2209
162	428	2202
163	430	2194
164	432	2186
165	434	2181
166	436	2175
167	437	2167
168	439	2160
169	440	2152
170	442	2145
171	444	2138
172	445	2131
173	447	2124
174	449	2118
175	451	2113
176	453	2107
177	455	2101
178	457	2096
179	458	2090
180	460	2084
181	462	2080
182	464	2074
183	467	2071
184	468	2065
185	470	2059
186	472	2053
187	474	2047
188	475	2041
189	477	2036
190	479	2031
191	482	2029
192	484	2024
193	486	2020
194	488	2015
195	490	2010
196	491	2004
197	493	1999
198	495	1994
199	497	1990
200	499	1985
201	501	1980
202	503	1975
203	504	1970
204	506	1965
205	508	1960
206	510	1955
207	512	1949
208	514	1947
209	516	1942
210	518	1938
211	520	1934
212	522	1929
213	523	1924
214	525	1919
215	527	1913
216	529	1910
217	531	1907
218	533	1902
219	535	1898
220	537	1894
221	539	1890
222	541	1885
223	542	1880
224	544	1876
225	546	1873
226	549	1869
227	550	1865
228	552	1861
229	554	1856
230	556	1851
231	557	1846
232	559	1842
233	563	1844
234	565	1840
235	567	1836
236	569	1832
237	570	1828
238	572	1824
239	574	1819
240	577	1819
241	579	1816
242	581	1811
243	583	1807
244	585	1803
245	586	1799
246	588	1794
247	590	1790
248	592	1787
249	595	1785
250	597	1781
251	599	1778
252	601	1774
253	603	1771
254	604	1767
255	606	1763
256	609	1762
257	611	1759
258	613	1755
259	615	1752
260	617	1748
261	619	1744
262	621	1740
263	623	1736
264	625	1735
265	627	1732
266	629	1728
267	631	1724
268	633	1720
269	635	1716
270	636	1712
271	638	1709
272	641	1707
273	643	1703
274	644	1700
275	646	1696
276	648	1693
277	650	1689
278	652	1685
279	654	1682
280	656	1679
281	658	1677
282	660	1673
283	662	1670
284	664	1666
285	666	1662
286	667	1659
287	669	1655
288	672	1654
289	674	1651
290	676	1648
291	678	1645
292	680	1642
293	682	1639
294	684	1635
295	686	1631
296	688	1630
297	690	1627
298	692	1624
299	694	1620
300	696	1617
301	698	1614
302	700	1610
303	702	1607
304	704	1605
305	706	1602
306	708	1599
307	710	1596
308	712	1593
309	714	1590
310	716	1586
311	717	1583
312	720	1582
313	722	1579
314	724	1576
315	726	1572
316	728	1569
317	730	1565
318	731	1562
319	733	1559
320	736	1557
321	738	1554
322	740	1551
323	741	1548
324	743	1544
325	745	1541
326	747	1538
327	749	1534
328	751	1532
329	753	1529
330	755	1526
331	757	1523
332	758	1520
333	760	1516
